,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,1,0,0,12,7,1,15,20,17,0,0,0,72,21,14,60.0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,3,0,0,11,9,1,21,11,10,0,0,0,52,8,13,38.1,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,2,0,0,5,10,4,8,11,10,0,0,0,37,16,10,61.5,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,2,0,0,5,11,6,23,12,3,0,0,0,57,17,24,41.5,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,0,0,0,4,5,8,5,11,11,0,0,0,55,13,25,34.2,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,2,0,0,12,8,0,19,11,11,0,0,0,53,19,18,51.4,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,1,1,0,9,11,1,8,12,11,0,0,1,48,12,8,60.0,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,3,0,0,12,9,1,9,14,10,0,0,0,46,21,18,53.8,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,1,0,0,12,9,1,10,6,7,0,0,0,51,17,22,43.6,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,2,1,0,8,15,1,22,5,9,0,0,0,45,30,24,55.6,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,1,0,0,7,10,4,11,10,12,0,0,0,53,20,18,52.6,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,2,0,0,10,5,4,18,8,8,0,0,0,49,23,19,54.8,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,1,0,0,9,10,2,21,9,7,0,0,0,43,19,18,51.4,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,1,0,0,4,6,3,10,17,8,0,0,0,54,17,16,51.5,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,0,0,0,6,10,2,8,10,9,0,0,0,50,25,20,55.6,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,1,0,0,11,17,0,15,18,6,0,0,0,42,37,33,52.9,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,1,Burnley,2,0,0,12,15,1,24,7,8,0,0,0,56,21,31,40.4,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,W,1,0,Crystal Palace,2,0,0,12,11,2,22,12,14,0,0,0,50,18,22,45.0,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Away,L,1,4,Manchester Utd,2,0,0,7,9,1,5,10,13,0,0,0,43,17,13,56.7,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,L,1,2,Everton,2,0,0,13,12,3,28,9,7,0,0,0,53,49,24,67.1,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,L,0,3,Leicester City,1,0,0,8,12,0,13,10,9,0,0,0,45,10,22,31.3,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,D,1,1,Wolves,3,0,0,12,12,1,11,7,11,0,0,0,52,14,17,45.2,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Home,W,1,0,Chelsea,1,0,0,9,13,1,11,11,7,0,0,0,46,28,20,58.3,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,D,2,2,Everton,1,0,0,10,12,0,18,11,5,0,0,0,56,18,27,40.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Norwich City,2,0,0,10,15,3,27,16,12,0,0,0,49,22,25,46.8,Match Report
