,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,312,418,74.6,5406,2418,160,185,86.5,109,143,76.2,34,69,49.3,0,0.3,0.2,7,27,2,0,26,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,293,376,77.9,5479,2091,133,142,93.7,109,131,83.2,41,80,51.3,1,0.8,0.6,9,24,8,3,19,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,160,219,73.1,2789,1370,72,82,87.8,43,54,79.6,25,53,47.2,1,0.8,0.5,7,11,4,0,6,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,379,515,73.6,5889,1824,198,227,87.2,132,165,80.0,26,75,34.7,1,0.9,0.6,10,25,4,2,23,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,219,313,70.0,3696,1609,113,130,86.9,63,80,78.8,27,68,39.7,1,0.3,0.3,6,9,5,3,12,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,218,320,68.1,3530,1399,112,133,84.2,63,80,78.8,28,74,37.8,0,0.9,0.6,11,15,3,0,11,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,275,363,75.8,4843,2137,136,165,82.4,117,135,86.7,20,43,46.5,0,0.1,0.1,2,15,4,2,10,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,219,312,70.2,3942,1946,111,132,84.1,73,101,72.3,30,63,47.6,1,0.7,0.5,11,8,4,2,18,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,188,287,65.5,3268,1441,90,107,84.1,53,80,66.3,23,59,39.0,0,0.4,0.3,4,10,4,3,9,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,343,450,76.2,5593,2270,162,193,83.9,116,147,78.9,34,60,56.7,1,0.9,0.8,10,19,7,4,17,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,185,285,64.9,3365,1781,83,100,83.0,55,75,73.3,28,73,38.4,2,1.3,1.2,8,12,5,0,16,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,219,329,66.6,4007,1892,103,123,83.7,64,98,65.3,35,76,46.1,0,0.6,0.3,10,14,6,2,12,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,260,350,74.3,4923,2269,128,139,92.1,86,110,78.2,42,78,53.8,0,0.5,0.5,9,19,2,1,11,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,165,274,60.2,3245,1509,72,95,75.8,65,92,70.7,26,74,35.1,2,0.2,0.1,4,15,1,0,14,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,185,288,64.2,3358,1840,104,131,79.4,46,69,66.7,30,70,42.9,2,0.5,0.2,5,14,4,1,10,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,261,393,66.4,4882,2285,114,142,80.3,102,147,69.4,36,77,46.8,1,0.3,0.4,7,20,5,2,14,Match Report
