,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,418,369,48,10,0,6,15,23,5,3,1,0,312,1,6,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,376,335,40,11,1,4,21,14,5,4,1,0,293,1,5,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,219,174,41,11,1,5,8,16,6,1,3,0,160,4,4,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,515,463,46,10,0,3,23,16,6,1,3,0,379,6,10,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,313,265,40,7,0,2,5,15,1,0,0,1,219,8,5,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,320,275,45,11,1,2,19,18,5,3,2,0,218,0,12,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,363,314,48,12,0,1,8,22,0,0,0,0,275,1,13,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,312,266,45,11,1,6,9,19,4,3,1,0,219,1,5,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,287,249,37,9,0,5,10,15,0,0,0,0,188,1,7,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,450,397,52,17,0,2,22,21,3,2,0,0,343,1,7,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,285,245,36,10,2,2,11,8,3,0,2,0,185,4,4,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,329,284,41,6,0,1,18,21,5,3,1,0,219,4,4,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,350,295,53,10,1,3,21,24,6,2,4,0,260,2,10,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,274,229,42,5,0,0,10,23,1,0,1,0,165,3,5,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,288,241,45,12,0,2,8,21,1,0,1,0,185,2,7,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,393,328,65,18,0,4,15,31,3,0,2,0,261,0,12,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,1,Burnley,442,393,48,18,0,5,24,18,3,1,0,0,312,1,11,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,W,1,0,Crystal Palace,412,364,46,11,1,11,22,20,4,2,0,1,303,2,5,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Away,L,1,4,Manchester Utd,323,275,47,11,1,4,5,19,0,0,0,0,232,1,10,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,L,1,2,Everton,373,322,48,14,2,5,28,20,5,1,1,3,261,3,4,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,L,0,3,Leicester City,281,226,55,15,1,2,13,22,4,2,2,0,186,0,9,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,D,1,1,Wolves,345,296,48,13,0,1,11,22,2,0,1,0,247,1,5,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Home,W,1,0,Chelsea,326,269,56,16,1,3,11,27,1,0,1,0,215,1,8,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,D,2,2,Everton,504,458,46,14,0,2,18,20,4,2,1,1,390,0,19,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Norwich City,412,363,46,13,0,4,27,14,8,3,4,0,309,3,5,Match Report
25,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-16,16:30 (18:30),Matchweek 26,Sun,Away,L,0,4,Arsenal,324,273,47,14,0,1,15,9,6,0,5,0,250,4,3,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,1,Crystal Palace,494,440,51,15,0,5,17,18,5,3,2,0,373,3,11,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,D,0,0,Burnley,437,378,57,10,0,4,27,29,11,6,1,0,281,2,10,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,W,1,0,Southampton,544,492,50,12,0,3,20,21,8,6,0,0,425,2,17,Match Report
31,2020-06-21,14:00 (15:00),Matchweek 30,Sun,Home,W,3,0,Sheffield Utd,482,435,44,9,2,8,13,21,2,2,0,0,385,3,9,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,D,1,1,Aston Villa,461,411,49,13,0,5,18,17,6,2,0,2,346,1,6,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Away,W,4,1,Bournemouth,442,399,42,13,1,4,7,14,3,0,1,2,344,1,3,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Home,D,2,2,West Ham,561,520,40,11,0,6,19,16,6,3,1,2,445,1,13,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,L,0,5,Manchester City,324,280,44,15,0,5,10,13,1,0,0,1,234,0,7,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,L,1,2,Watford,387,332,52,24,0,5,12,17,4,4,0,0,270,3,9,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,L,1,3,Tottenham,537,499,38,13,1,12,20,11,5,2,3,0,456,0,5,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,D,0,0,Brighton,366,316,49,13,0,7,24,22,7,6,0,0,268,1,12,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Liverpool,297,256,38,6,1,1,7,18,2,1,0,0,193,3,7,Match Report
40,,,,,,11-11-16,38,58,,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,
