,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,0,9,2,22.2,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,1,12,4,33.3,0.08,0.25,15.4,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,1,8,3,37.5,0.13,0.33,15.0,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,1,13,5,38.5,0.08,0.20,20.2,1,0,0,1.0,1.0,0.08,0.0,0.0,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,1,8,1,12.5,0.13,1.00,23.0,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,0,11,4,36.4,0.00,0.00,17.9,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,0,3,0,0.0,0.00,,31.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,1,12,2,16.7,0.08,0.50,22.2,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,0,5,0,0.0,0.00,,18.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,1,13,2,15.4,0.08,0.50,17.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,3,12,9,75.0,0.25,0.33,18.6,1,0,0,1.5,1.5,0.13,+1.5,+1.5,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,2,21,9,42.9,0.10,0.22,19.4,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,0,11,5,45.5,0.00,0.00,19.9,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,2,6,3,50.0,0.33,0.67,26.2,2,0,0,0.3,0.3,0.04,+1.7,+1.7,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,2,6,4,66.7,0.33,0.50,21.2,1,0,0,0.5,0.5,0.09,+1.5,+1.5,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,2,12,6,50.0,0.17,0.33,17.0,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,1,Burnley,0,9,0,0.0,0.00,,19.2,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,W,1,0,Crystal Palace,1,8,3,37.5,0.13,0.33,23.6,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Away,L,1,4,Manchester Utd,1,7,2,28.6,0.14,0.50,18.9,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Match Report
