,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,0.4,1.1,38,47635,Jamaal Lascelles,3-5-2,Martin Atkinson,Match Report,
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,0.9,1.7,37,27059,Jamaal Lascelles,3-5-2,Stuart Attwell,Match Report,
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,0.8,1.1,21,59245,Jamaal Lascelles,5-4-1,Mike Dean,Match Report,
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,1.0,1.0,49,44157,Jamaal Lascelles,5-4-1,Graham Scott,Match Report,
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,0.3,3.0,26,51430,Jamaal Lascelles,5-4-1,Andre Marriner,Match Report,
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,0.9,1.4,29,43316,Jamaal Lascelles,5-4-1,Martin Atkinson,Match Report,
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,0.1,1.6,32,32168,Jamaal Lascelles,4-2-3-1,Craig Pawson,Match Report,
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,0.8,0.9,32,51198,Jamaal Lascelles,5-4-1,Mike Dean,Match Report,
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,0.4,2.0,29,40513,Jamaal Lascelles,5-4-1,Andre Marriner,Match Report,
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,1.0,2.1,44,46019,Jamaal Lascelles,5-4-1,Kevin Friend,Match Report,
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,1.5,1.8,30,59907,Jamaal Lascelles,5-4-1,Stuart Attwell,Match Report,
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,2.4,1.8,35,44424,Jamaal Lascelles,5-4-1,Martin Atkinson,Match Report,
