,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,1,1,Bournemouth,476,423,52,11,3,1,18,27,4,3,0,0,362,1,7,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Home,W,1,0,Crystal Palace,411,357,54,12,0,7,21,31,8,5,0,0,308,0,10,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Leicester City,486,425,60,10,1,8,32,31,7,7,0,0,352,1,14,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,2,2,Chelsea,465,427,38,8,1,7,14,18,4,2,0,2,360,0,8,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,0,1,Southampton,486,429,54,7,0,4,33,27,12,9,0,2,345,3,13,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,W,2,0,Everton,267,216,50,10,1,1,13,22,3,1,0,2,163,1,10,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Home,L,0,1,Liverpool,334,285,49,5,2,5,17,24,6,3,0,2,220,0,10,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,D,0,0,Watford,613,564,46,9,0,15,30,23,7,4,0,3,487,3,5,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Home,W,1,0,Arsenal,334,280,53,13,0,1,19,27,7,3,2,0,233,1,6,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,1,1,West Ham,398,350,44,11,0,7,15,20,4,2,0,0,285,4,7,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,3,0,Burnley,432,383,48,12,2,2,23,21,7,4,0,2,291,1,7,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,D,1,1,Tottenham,423,372,45,7,0,5,15,21,4,3,1,0,308,6,8,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Home,D,3,3,Manchester Utd,438,387,48,11,0,4,28,22,6,3,0,2,298,3,15,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,1,1,Wolves,405,359,43,13,1,4,18,21,2,2,0,0,295,3,4,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,760,706,51,7,1,15,45,30,8,6,0,1,623,3,13,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,2,1,Norwich City,467,424,41,7,0,5,16,26,1,1,0,0,319,2,7,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,2,0,Aston Villa,577,524,50,9,0,10,30,29,3,3,0,0,426,3,10,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Brighton,326,279,44,8,0,3,9,19,3,2,0,0,205,3,9,Match Report
