,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,D,1,1,Bournemouth,47,581,50,172,257,158,11,581,6,15,40.0,11,9,360,22,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Home,W,1,0,Crystal Palace,43,562,53,178,195,192,21,562,9,20,45.0,21,10,302,15,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Leicester City,49,582,42,132,219,238,21,582,11,14,78.6,21,10,348,26,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,2,2,Chelsea,38,571,65,190,275,109,10,571,7,15,46.7,8,8,358,29,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,0,1,Southampton,49,608,56,189,236,187,28,608,16,22,72.7,11,12,339,28,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,W,2,0,Everton,31,420,99,228,110,85,6,420,5,12,41.7,14,3,162,7,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Home,L,0,1,Liverpool,30,448,72,158,169,127,23,448,8,11,72.7,14,8,219,15,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,D,0,0,Watford,60,723,56,209,348,176,20,723,7,11,63.6,20,13,481,34,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Home,W,1,0,Arsenal,33,461,69,159,164,143,22,461,3,6,50.0,15,14,233,14,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Away,D,1,1,West Ham,40,517,72,181,230,112,18,517,13,18,72.2,12,7,281,16,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,3,0,Burnley,45,523,58,167,210,150,24,523,13,13,100.0,14,5,289,24,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,D,1,1,Tottenham,39,552,60,162,224,168,16,552,12,21,57.1,18,10,302,15,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Home,D,3,3,Manchester Utd,41,545,45,153,227,169,15,545,8,12,66.7,10,6,296,27,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,1,1,Wolves,41,544,73,180,209,157,21,544,7,16,43.8,14,8,295,30,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,73,850,41,142,443,267,28,850,6,11,54.5,15,9,622,53,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,W,2,1,Norwich City,42,592,69,187,259,148,18,592,15,19,78.9,11,13,314,29,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,2,0,Aston Villa,56,679,42,143,308,233,34,679,7,13,53.8,16,5,418,54,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Brighton,31,436,65,179,175,87,11,436,9,14,64.3,21,4,198,14,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,D,1,1,Watford,58,682,35,181,316,188,26,681,12,13,92.3,25,6,420,39,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Away,L,0,2,Manchester City,28,456,72,172,162,128,14,456,9,13,69.2,8,6,248,15,Match Report
20,2020-01-02,20:00 (22:00),Matchweek 21,Thu,Away,L,0,2,Liverpool,26,447,76,173,194,83,9,447,6,7,85.7,12,5,252,20,Match Report
21,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Home,W,1,0,West Ham,47,583,41,142,300,146,16,583,9,15,60.0,7,10,327,28,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Arsenal,39,501,49,140,247,125,24,501,9,15,60.0,13,7,264,22,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,1,Manchester City,34,423,71,154,157,116,15,423,9,11,81.8,9,6,203,17,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,1,0,Crystal Palace,39,504,63,172,185,151,16,504,11,16,68.8,18,9,253,32,Match Report
25,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,For Sheffield United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-09,14:00 (16:00),Matchweek 26,Sun,Home,W,2,1,Bournemouth,55,631,51,159,274,205,37,631,13,16,81.3,14,7,361,24,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,D,1,1,Brighton,65,749,29,117,344,295,34,749,16,22,72.7,24,9,466,28,Match Report
29,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,Norwich City,42,541,60,141,197,208,31,541,12,20,60.0,9,10,290,21,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Away,D,0,0,Aston Villa,54,613,52,154,295,170,11,613,5,9,55.6,15,4,409,16,Match Report
31,2020-06-21,14:00 (15:00),Matchweek 30,Sun,Away,L,0,3,Newcastle Utd,54,635,49,151,329,159,12,635,6,14,42.9,13,3,445,22,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,L,0,3,Manchester Utd,32,461,61,174,189,102,6,461,4,6,66.7,7,5,282,16,Match Report
33,2020-07-02,18:00 (19:00),Matchweek 32,Thu,Home,W,3,1,Tottenham,33,452,78,171,162,126,20,452,8,13,61.5,13,9,222,12,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Away,D,1,1,Burnley,52,593,54,177,239,179,19,593,15,17,88.2,14,7,337,17,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,1,0,Wolves,44,531,40,107,249,183,28,531,10,18,55.6,7,5,305,26,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Home,W,3,0,Chelsea,24,375,71,161,95,126,18,375,9,12,75.0,6,5,165,11,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Away,L,0,2,Leicester City,46,548,47,144,268,139,12,548,6,10,60.0,18,14,325,22,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Home,L,0,1,Everton,51,607,31,131,290,197,19,607,9,14,64.3,13,5,396,29,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,1,3,Southampton,28,389,74,188,142,64,12,389,6,11,54.5,8,6,175,12,Match Report
40,,,,,,14-12-12,39,39,,43.1,20915,2191,6218,8892,5996,726,20914,346,535,64.7,519,292,11962,881,
