,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,16,9,3,2,0,2,0,0,0,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,18,10,2,2,2,1,1,0,0,0,0,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,21,12,1,4,2,2,0,4,3,0,1,0,0,0,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,14,11,1,1,1,0,0,1,0,0,0,1,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,21,10,2,7,0,2,0,2,0,0,2,0,0,0,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,46,36,3,3,1,1,2,2,1,0,0,0,1,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,24,14,3,1,1,3,2,1,0,0,0,0,0,1,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,18,12,2,1,0,2,1,2,1,0,1,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,20,12,4,0,1,3,0,0,0,0,0,0,0,0,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Home,L,0,9,Leicester City,10,6,1,1,0,1,1,0,0,0,0,0,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,1,2,Manchester City,5,4,0,0,1,0,0,1,0,0,0,1,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,L,1,2,Everton,8,2,1,2,0,2,1,2,0,0,2,0,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,D,2,2,Arsenal,33,22,2,2,2,3,2,3,0,1,0,1,1,0,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Home,W,2,1,Watford,19,13,0,4,0,2,0,4,1,0,2,0,1,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Norwich City,25,17,3,1,2,1,1,3,0,1,0,1,1,0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,28,14,3,2,6,2,1,2,2,0,0,0,0,0,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Home,L,0,1,West Ham,19,16,1,0,1,1,0,0,0,0,0,0,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,3,1,Aston Villa,28,16,2,3,3,4,0,5,3,1,0,1,0,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,W,2,0,Chelsea,8,5,1,0,1,1,0,3,3,0,0,0,0,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,D,1,1,Crystal Palace,22,10,4,3,1,2,2,0,0,0,0,0,0,0,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,W,1,0,Tottenham,22,17,2,2,1,0,0,2,1,0,1,0,0,0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,W,2,1,Leicester City,25,17,2,1,3,2,0,4,4,0,0,0,0,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,L,2,3,Wolves,20,14,1,3,0,2,0,3,2,0,0,0,1,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,27,20,3,3,1,0,0,3,2,0,1,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,29,20,3,2,1,1,2,1,0,0,0,0,0,1,Match Report
25,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,17,13,1,1,2,0,0,1,0,0,1,0,0,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,47,32,3,4,4,3,1,2,2,0,0,0,0,0,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,18,11,2,1,1,2,1,2,2,0,0,0,0,0,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,10,5,2,1,0,2,0,0,0,0,0,0,0,0,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,34,21,5,2,2,2,2,4,3,0,1,0,0,0,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,21,15,2,1,1,1,1,0,0,0,0,0,0,0,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,21,12,1,3,1,3,1,5,2,0,1,0,1,1,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,14,9,0,1,0,1,3,1,0,0,0,0,0,1,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,28,17,2,2,3,3,1,2,0,0,1,1,0,0,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,15,12,1,1,1,0,0,3,2,0,0,1,0,0,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,38,29,3,0,3,2,1,2,2,0,0,0,0,0,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,27,21,2,1,3,0,0,4,3,0,1,0,0,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,18,14,0,2,1,1,0,4,2,0,0,1,1,0,Match Report
40,,,,,,15-7-16,51,60,,834,550,74,70,53,60,27,78,41,3,15,8,7,4,
