,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,0,0,0,12,6,1,10,10,5,0,0,0,53,22,22,50.0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,2,0,0,10,4,4,19,10,8,0,0,0,51,15,19,44.1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,3,0,0,10,9,0,7,4,12,0,0,0,56,14,24,36.8,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,3,1,1,17,6,0,19,19,15,0,0,0,59,18,26,40.9,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1,0,0,7,10,1,20,9,9,0,0,0,59,19,16,54.3,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,1,0,0,8,8,1,24,9,20,1,0,0,60,22,26,45.8,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,2,0,0,16,5,1,25,11,12,0,0,0,55,17,18,48.6,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,0,0,0,8,15,1,11,9,9,0,0,0,69,15,22,40.5,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,2,0,0,17,9,2,9,13,4,0,1,0,56,18,24,42.9,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Home,L,0,9,Leicester City,0,1,0,3,11,1,7,17,12,0,1,0,58,10,10,50.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,1,2,Manchester City,1,0,0,10,9,0,4,11,11,0,0,0,45,23,18,56.1,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,L,1,2,Everton,1,0,0,12,11,2,11,6,5,0,0,0,48,23,27,46.0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,D,2,2,Arsenal,2,0,0,19,12,1,13,16,9,1,0,0,54,9,15,37.5,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Home,W,2,1,Watford,1,0,0,6,10,2,25,12,11,0,0,0,55,12,21,36.4,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Norwich City,1,0,0,12,7,3,21,13,15,0,0,0,65,26,26,50.0,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,3,0,0,17,11,1,25,7,13,0,0,0,49,33,37,47.1,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Home,L,0,1,West Ham,1,0,0,9,12,4,26,10,8,0,0,0,68,33,31,51.6,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,3,1,Aston Villa,1,0,0,15,15,3,22,3,13,0,0,0,51,17,34,33.3,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,W,2,0,Chelsea,2,0,0,9,9,2,8,9,16,0,0,0,80,27,34,44.3,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,D,1,1,Crystal Palace,1,0,0,13,7,2,38,14,10,0,0,0,53,24,28,46.2,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,W,1,0,Tottenham,3,0,0,21,8,1,19,13,14,0,0,0,68,21,20,51.2,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,W,2,1,Leicester City,3,0,0,17,8,2,17,13,16,0,0,0,58,27,20,57.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,L,2,3,Wolves,2,0,0,13,10,2,24,10,8,0,1,0,64,21,31,40.4,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,2,0,0,13,12,1,19,11,14,0,0,0,61,27,30,47.4,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,2,0,0,15,7,5,19,6,11,0,0,0,62,17,15,53.1,Match Report
25,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,2,0,0,8,11,1,26,7,7,0,0,0,49,26,22,54.2,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,1,0,0,13,17,0,19,12,12,0,0,0,49,31,23,57.4,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,1,0,0,11,7,1,29,13,8,0,0,0,65,27,34,44.3,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,0,1,0,14,13,0,21,10,11,0,1,0,39,18,13,58.1,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,1,0,0,15,7,1,18,17,12,0,0,0,71,23,12,65.7,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,0,1,0,10,14,2,19,12,10,0,0,0,42,13,16,44.8,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,0,0,0,9,18,1,8,11,14,0,0,1,69,38,28,57.6,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,1,0,0,6,7,3,5,27,13,0,0,0,54,15,20,42.9,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,3,0,0,14,13,2,23,13,9,1,0,0,44,20,20,50.0,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,3,0,0,15,14,0,20,12,6,0,0,0,59,14,15,48.3,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,1,0,0,6,10,1,20,9,12,0,0,0,57,19,25,43.2,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,2,0,0,11,11,1,13,10,12,0,0,0,43,41,37,52.6,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,0,0,0,9,15,2,27,7,10,1,0,0,52,15,19,44.1,Match Report
40,,,,,,15-7-16,51,60,,55,4,1,450,388,58,690,425,416,4,4,1,2150,810,878,48.0,
