,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,53,552,45,146,296,116,27,552,6,11,54.5,16,16,267,26,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,37,473,53,132,216,127,22,473,10,11,90.9,14,6,217,20,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,49,544,61,159,268,123,18,544,11,16,68.8,17,11,316,21,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,41,566,69,188,248,139,17,566,6,16,37.5,20,9,298,21,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,51,645,73,243,294,115,17,645,20,26,76.9,13,15,383,17,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,65,742,31,152,402,194,34,741,8,11,72.7,18,5,461,46,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,58,676,35,121,326,233,24,676,6,14,42.9,20,15,468,43,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,43,553,53,172,263,120,15,553,11,22,50.0,12,8,288,17,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,43,533,50,136,300,102,17,533,9,15,60.0,18,5,306,32,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Home,L,0,9,Leicester City,28,434,57,141,219,80,8,434,19,26,73.1,17,19,184,7,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,1,2,Manchester City,25,429,155,250,130,57,4,429,15,20,75.0,15,4,147,8,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,L,1,2,Everton,47,501,78,183,245,79,7,501,10,19,52.6,17,14,260,17,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,D,2,2,Arsenal,39,489,62,147,208,140,30,489,13,21,61.9,14,17,257,29,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Home,W,2,1,Watford,63,739,54,159,390,196,23,739,20,27,74.1,21,11,469,35,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Norwich City,40,556,33,107,299,154,34,556,11,19,57.9,13,4,275,26,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,54,593,53,155,288,158,31,593,9,16,56.3,17,9,318,25,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Home,L,0,1,West Ham,57,663,47,173,334,161,23,663,8,18,44.4,23,7,368,34,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,3,1,Aston Villa,44,502,72,174,227,107,22,502,6,6,100.0,25,9,255,19,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,W,2,0,Chelsea,34,559,67,225,275,64,9,559,11,19,57.9,25,13,245,24,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,D,1,1,Crystal Palace,59,642,40,134,354,164,23,642,18,28,64.3,9,6,401,22,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,W,1,0,Tottenham,41,541,65,172,262,117,14,541,8,16,50.0,30,15,241,25,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,W,2,1,Leicester City,43,493,41,114,260,128,18,493,9,18,50.0,16,11,205,22,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,L,2,3,Wolves,53,578,38,122,328,134,15,578,9,20,45.0,21,2,314,18,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,55,643,41,132,321,196,18,643,14,24,58.3,24,10,341,39,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,38,502,63,149,222,138,39,502,10,14,71.4,20,10,219,28,Match Report
25,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,62,686,48,189,311,190,27,686,11,19,57.9,23,10,424,51,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,46,502,39,96,263,149,22,502,14,20,70.0,11,7,257,23,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,65,695,61,179,360,166,27,695,13,19,68.4,14,10,418,34,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,39,454,46,144,184,132,11,454,11,15,73.3,20,11,224,23,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,46,508,40,112,241,172,33,508,18,30,60.0,21,7,251,26,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,53,568,31,140,281,158,20,568,9,15,60.0,12,4,370,19,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,52,619,46,194,285,151,12,619,9,13,69.2,19,9,352,19,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,27,484,125,225,188,77,6,484,6,14,42.9,13,8,217,4,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,61,651,47,136,332,185,36,650,11,14,78.6,12,9,440,37,Match Report
36,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,52,646,47,182,302,168,19,646,9,13,69.2,17,9,427,29,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,67,747,40,183,336,236,30,747,10,18,55.6,19,10,507,35,Match Report
38,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,56,597,88,241,242,121,27,596,10,16,62.5,8,11,303,27,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,72,817,41,204,426,197,29,816,15,21,71.4,10,6,607,45,Match Report
40,,,,,,15-7-16,51,60,,48.9,22122,2135,6211,10726,5444,808,22118,423,680,62.2,654,362,12300,993,
