,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,47,37,1,2,2,2,3,5,2,0,2,1,0,0,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,7,4,1,0,0,0,2,4,3,1,0,0,0,0,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,31,28,0,1,1,0,1,0,0,0,0,0,0,0,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,24,16,3,1,2,2,0,3,1,0,0,1,1,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,21,16,2,0,0,1,2,6,6,0,0,0,0,0,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,22,19,1,1,0,0,1,2,2,0,0,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,17,9,2,2,2,1,1,4,4,0,0,0,0,0,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,16,13,0,1,0,1,1,0,0,0,0,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,22,16,2,2,1,1,0,2,2,0,0,0,0,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,20,13,2,3,1,1,0,1,0,0,0,1,0,0,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Away,D,1,1,Everton,9,7,1,1,0,0,0,2,1,0,1,0,0,0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,31,26,1,3,1,0,0,2,2,0,0,0,0,0,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Away,W,3,2,West Ham,26,17,3,0,4,2,0,6,6,0,0,0,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,3,2,Bournemouth,23,19,0,2,1,0,1,6,5,0,1,0,0,0,Match Report
