,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,1,1,100.0,8,3,0.0,22.5,2,50.0,24.0,6,0,0.0,0,,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,10,2,8,80.0,0,3.3,+1.3,0,0,0,0,6,16,37.5,41,10,29.3,30.7,11,36.4,29.5,23,1,4.3,0,7.3,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,1,1,100.0,17,5,5.9,22.2,4,0.0,20.0,6,1,16.7,1,14.0,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,8,2,6,75.0,0,2.6,+0.6,0,0,0,0,9,19,47.4,28,3,50.0,39.5,15,33.3,32.9,21,1,4.8,0,5.5,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,6,0,6,100.0,1,0.5,+0.5,0,0,0,0,2,2,100.0,21,9,9.5,25.0,0,,,9,0,0.0,0,3.0,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,1,6,16.7,15,3,26.7,28.6,11,18.2,23.0,13,0,0.0,1,25.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,6,1,5,83.3,0,2.2,+1.2,0,0,0,0,7,18,38.9,28,7,46.4,37.0,8,62.5,40.5,21,1,4.8,2,16.2,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,6,3,3,50.0,0,2.5,-0.4,0,0,0,0,0,3,0.0,29,6,6.9,21.6,8,12.5,21.4,15,1,6.7,2,13.6,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,1,1,100.0,17,1,0.0,22.3,4,25.0,33.3,3,0,0.0,3,24.0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,13,2,11,92.3,0,2.9,+0.9,1,1,0,0,4,20,20.0,25,5,48.0,42.7,8,100.0,69.4,27,2,7.4,0,9.0,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Away,D,1,1,Everton,3,1,2,66.7,0,1.0,0.0,0,0,0,0,2,12,16.7,25,5,20.0,28.8,11,63.6,52.4,19,0,0.0,0,19.0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,5,11,45.5,21,3,23.8,30.1,10,60.0,44.1,15,0,0.0,2,22.0,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Away,W,3,2,West Ham,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,5,19,26.3,21,1,57.1,43.2,7,100.0,70.0,15,0,0.0,0,,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,3,2,Bournemouth,6,2,4,66.7,0,0.8,-1.2,0,0,0,0,7,24,29.2,24,2,58.3,40.7,10,100.0,65.7,18,2,11.1,1,13.3,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Manchester Utd,7,2,5,85.7,0,1.6,-0.4,1,1,0,0,2,12,16.7,19,2,42.1,32.9,6,66.7,50.3,10,0,0.0,1,16.6,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,W,5,0,Burnley,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,28,21.4,35,2,60.0,38.5,7,100.0,68.9,15,0,0.0,2,15.8,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,W,2,1,Wolves,5,1,4,80.0,0,0.9,-0.1,0,0,0,0,7,20,35.0,20,3,65.0,42.3,7,100.0,67.4,25,1,4.0,0,12.5,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Home,L,0,2,Chelsea,3,2,1,66.7,0,1.5,-0.5,1,1,0,0,3,13,23.1,24,6,33.3,29.4,7,71.4,49.9,11,1,9.1,0,17.0,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Home,W,2,1,Brighton,5,1,4,80.0,0,1.5,+0.5,0,0,0,0,2,7,28.6,11,3,18.2,29.5,9,55.6,42.7,11,0,0.0,0,,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,D,2,2,Norwich City,2,2,1,0.0,0,0.2,-0.8,0,0,0,0,2,10,20.0,21,6,33.3,32.7,4,75.0,51.3,5,0,0.0,0,19.5,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,L,0,1,Southampton,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5,13,38.5,23,1,52.2,36.9,5,20.0,26.0,15,0,0.0,2,26.3,Match Report
21,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Home,L,0,1,Liverpool,6,1,5,83.3,0,1.3,+0.3,0,0,0,0,2,14,14.3,27,11,33.3,28.7,7,71.4,47.0,15,1,6.7,1,15.3,Match Report
22,2020-01-18,12:30 (14:30),Matchweek 23,Sat,Away,D,0,0,Watford,2,0,1,100.0,1,1.6,+1.6,1,0,1,0,1,8,12.5,8,1,25.0,29.0,12,50.0,42.3,19,0,0.0,1,15.5,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,2,1,Norwich City,2,1,1,100.0,0,1.1,+0.1,1,1,0,0,9,17,52.9,21,4,38.1,33.5,11,81.8,47.2,7,1,14.3,0,7.0,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Home,W,2,0,Manchester City,5,0,4,100.0,1,2.0,+2.0,1,0,1,0,6,19,31.6,22,4,63.6,42.7,7,71.4,47.3,13,1,7.7,1,13.0,Match Report
25,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Away,W,3,2,Aston Villa,4,2,3,50.0,0,0.5,-0.5,0,0,0,0,1,6,16.7,16,4,31.3,30.8,6,16.7,11.5,21,0,0.0,1,12.3,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Away,L,1,2,Chelsea,7,2,5,71.4,0,2.0,0.0,0,0,0,0,4,10,40.0,29,5,27.6,28.6,9,22.2,21.9,8,0,0.0,1,27.0,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,L,2,3,Wolves,4,3,1,25.0,0,2.6,-0.4,0,0,0,0,7,11,63.6,12,2,33.3,34.4,9,77.8,50.0,12,0,0.0,0,,Match Report
30,2020-03-07,17:30 (19:30),Matchweek 29,Sat,Away,D,1,1,Burnley,7,1,6,85.7,0,2.5,+1.5,0,0,0,0,3,17,17.6,23,7,52.2,38.8,9,55.6,34.2,24,1,4.2,0,4.5,Match Report
31,2020-06-19,20:15 (21:15),Matchweek 30,Fri,Home,D,1,1,Manchester Utd,6,1,5,100.0,0,1.6,+0.6,1,1,0,0,7,21,33.3,21,2,85.7,51.5,7,42.9,27.1,13,0,0.0,0,11.0,Match Report
32,2020-06-23,20:15 (21:15),Matchweek 31,Tue,Home,W,2,0,West Ham,2,0,2,100.0,1,1.4,+1.4,0,0,0,0,5,10,50.0,18,5,33.3,32.1,8,50.0,37.4,13,0,0.0,0,,Match Report
33,2020-07-02,18:00 (19:00),Matchweek 32,Thu,Away,L,1,3,Sheffield Utd,5,3,2,40.0,0,2.7,-0.3,0,0,0,0,2,5,40.0,17,6,29.4,32.4,7,0.0,18.9,7,0,0.0,1,12.6,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Home,W,1,0,Everton,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,4,12,33.3,20,5,40.0,35.5,8,50.0,34.5,18,1,5.6,1,10.0,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,0,0,Bournemouth,2,0,2,100.0,1,0.8,+0.8,0,0,0,0,6,10,60.0,20,3,45.0,37.4,1,100.0,56.0,19,2,10.5,0,7.0,Match Report
36,2020-07-12,16:30 (17:30),Matchweek 35,Sun,Home,W,2,1,Arsenal,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,9,24,37.5,21,3,81.0,47.3,10,70.0,44.4,16,0,0.0,0,11.0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,W,3,1,Newcastle Utd,6,1,5,83.3,0,1.7,+0.7,0,0,0,0,8,15,53.3,16,4,50.0,37.6,8,87.5,49.8,18,2,11.1,0,9.3,Match Report
38,2020-07-19,16:00 (17:00),Matchweek 37,Sun,Home,W,3,0,Leicester City,6,0,6,100.0,1,1.0,+1.0,0,0,0,0,8,17,47.1,18,5,61.1,43.2,7,85.7,50.7,29,3,10.3,0,4.3,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,D,1,1,Crystal Palace,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,7,12,58.3,16,3,37.5,29.6,12,50.0,36.3,19,0,0.0,0,13.0,Match Report
40,,,,,,16-11-11,61,47,,181,47,134,76.8,8,53.0,+8.0,7,5,2,0,167,484,34.5,798,160,39.7,34.3,292,57.2,41.7,574,23,4.0,24,13.7,
