,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,3,31,6,19.4,0.10,0.50,18.6,2,0,0,2.4,2.4,0.08,+0.6,+0.6,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,2,3,2,66.7,0.67,1.00,34.8,0,0,0,0.1,0.1,0.04,+1.9,+1.9,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,0,17,2,11.8,0.00,0.00,20.3,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,2,12,8,66.7,0.08,0.13,21.3,1,1,1,2.0,1.2,0.10,0.0,-0.2,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,3,13,5,38.5,0.23,0.60,19.3,1,0,0,1.0,1.0,0.08,+2.0,+2.0,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,1,11,4,36.4,0.09,0.25,16.6,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,2,9,4,44.4,0.22,0.50,20.5,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,0,8,3,37.5,0.00,0.00,22.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,1,12,2,16.7,0.08,0.50,18.1,1,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,1,11,4,36.4,0.09,0.25,17.3,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Away,D,1,1,Everton,1,5,2,40.0,0.20,0.50,16.6,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,1,17,5,29.4,0.06,0.20,20.3,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Away,W,3,2,West Ham,3,15,6,40.0,0.20,0.50,15.9,1,0,0,2.1,2.1,0.14,+0.9,+0.9,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,3,2,Bournemouth,3,14,5,35.7,0.21,0.60,14.2,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Manchester Utd,1,8,5,62.5,0.13,0.20,17.0,1,0,0,0.9,0.9,0.12,+0.1,+0.1,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,W,5,0,Burnley,5,13,7,53.8,0.38,0.71,19.2,0,0,0,2.6,2.6,0.21,+2.4,+2.4,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,W,2,1,Wolves,2,9,5,55.6,0.22,0.40,13.5,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Home,L,0,2,Chelsea,0,5,1,20.0,0.00,0.00,18.4,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Home,W,2,1,Brighton,2,11,5,45.5,0.18,0.40,18.1,1,0,0,0.8,0.8,0.07,+1.2,+1.2,Match Report
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,D,2,2,Norwich City,2,14,6,42.9,0.07,0.17,23.2,1,1,1,1.9,1.1,0.08,+0.1,-0.1,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,L,0,1,Southampton,0,11,5,45.5,0.00,0.00,17.1,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
21,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Home,L,0,1,Liverpool,0,14,4,28.6,0.00,0.00,16.7,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report
22,2020-01-18,12:30 (14:30),Matchweek 23,Sat,Away,D,0,0,Watford,0,16,4,25.0,0.00,0.00,17.1,0,0,0,1.9,1.9,0.13,-1.9,-1.9,Match Report
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,2,1,Norwich City,2,14,3,21.4,0.14,0.67,16.7,1,0,0,2.1,2.1,0.15,-0.1,-0.1,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Home,W,2,0,Manchester City,2,3,3,100.0,0.67,0.67,17.1,0,0,0,0.3,0.3,0.10,+1.7,+1.7,Match Report
25,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,For Tottenham Hotspur,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
