,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-13,14:00 (15:00),Matchweek 1,Sun,Home,L,0,3,Leicester City,374,325,45,11,0,8,9,22,2,2,0,0,272,4,6,Match Report
1,2020-09-19,12:30 (13:30),Matchweek 2,Sat,Away,L,2,5,Everton,345,312,32,9,0,4,6,8,1,0,0,1,268,1,9,Match Report
2,2020-09-26,17:30 (18:30),Matchweek 3,Sat,Home,D,3,3,Chelsea,283,237,45,15,1,3,14,16,3,1,1,1,185,1,8,Match Report
3,2020-10-04,12:00 (13:00),Matchweek 4,Sun,Away,L,0,2,Southampton,360,305,54,20,1,1,9,21,1,0,0,0,244,1,6,Match Report
4,2020-10-19,17:30 (18:30),Matchweek 5,Mon,Home,D,0,0,Burnley,538,479,57,17,1,5,21,25,8,1,2,0,396,2,13,Match Report
5,2020-10-26,17:30 (19:30),Matchweek 6,Mon,Away,D,1,1,Brighton,524,473,50,16,1,8,18,25,2,0,1,0,425,1,5,Match Report
6,2020-11-02,17:30 (19:30),Matchweek 7,Mon,Away,L,0,2,Fulham,516,469,43,12,1,3,13,19,2,0,1,0,401,4,14,Match Report
7,2020-11-08,12:00 (14:00),Matchweek 8,Sun,Home,L,0,1,Tottenham,394,341,52,13,0,2,30,21,9,4,4,0,251,1,10,Match Report
8,2020-11-21,20:00 (22:00),Matchweek 9,Sat,Away,L,0,1,Manchester Utd,419,376,42,13,0,2,8,19,2,1,0,0,317,1,7,Match Report
9,2020-11-28,20:00 (22:00),Matchweek 10,Sat,Home,W,1,0,Sheffield Utd,431,373,56,10,2,3,25,21,14,5,0,7,324,2,6,Match Report
10,2020-12-06,12:00 (14:00),Matchweek 11,Sun,Home,L,1,5,Crystal Palace,529,479,48,18,0,3,14,14,4,2,1,1,450,2,10,Match Report
11,2020-12-12,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,538,492,44,11,0,2,24,22,3,1,2,0,420,2,7,Match Report
12,2020-12-15,20:00 (22:00),Matchweek 13,Tue,Away,D,1,1,Manchester City,246,204,40,8,0,2,5,12,2,0,1,0,149,2,6,Match Report
13,2020-12-20,19:15 (21:15),Matchweek 14,Sun,Home,L,0,3,Aston Villa,307,267,39,11,0,0,10,11,1,1,0,0,196,1,3,Match Report
14,2020-12-27,16:30 (18:30),Matchweek 15,Sun,Away,D,1,1,Liverpool,248,199,44,9,1,0,14,15,3,2,0,0,131,5,11,Match Report
15,2020-12-29,18:00 (20:00),Matchweek 16,Tue,Home,L,0,5,Leeds United,277,232,44,11,0,1,17,17,3,2,1,0,171,1,6,Match Report
16,2021-01-02,20:00 (22:00),Matchweek 17,Sat,Home,L,0,4,Arsenal,421,376,42,6,1,2,21,18,3,2,0,0,302,3,8,Match Report
17,2021-01-16,12:30 (14:30),Matchweek 19,Sat,Away,W,3,2,Wolves,304,255,47,7,0,1,6,25,0,0,0,0,197,2,9,Match Report
18,2021-01-19,18:00 (20:00),Matchweek 18,Tue,Away,L,1,2,West Ham,414,375,39,12,0,3,16,17,1,1,0,0,290,0,7,Match Report
19,2021-01-26,20:15 (22:15),Matchweek 20,Tue,Home,L,0,5,Manchester City,277,236,41,9,0,1,10,17,3,1,0,1,179,0,3,Match Report
20,2021-01-30,15:00 (17:00),Matchweek 21,Sat,Home,D,2,2,Fulham,377,334,42,11,1,1,17,19,2,1,0,1,236,1,8,Match Report
21,2021-02-02,18:00 (20:00),Matchweek 22,Tue,Away,L,1,2,Sheffield Utd,310,264,43,10,0,3,17,18,2,1,0,1,196,3,7,Match Report
22,2021-02-07,12:00 (14:00),Matchweek 23,Sun,Away,L,0,2,Tottenham,341,293,44,17,0,5,11,16,0,0,0,0,245,4,6,Match Report
23,2021-02-14,14:00 (16:00),Matchweek 24,Sun,Home,D,1,1,Manchester Utd,284,248,34,13,0,1,15,11,4,2,0,0,181,2,8,Match Report
24,2021-02-20,15:00 (17:00),Matchweek 25,Sat,Away,D,0,0,Burnley,304,247,54,18,0,5,12,19,5,2,1,0,176,3,6,Match Report
25,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2021-02-27,15:00 (17:00),Matchweek 26,Sat,Home,W,1,0,Brighton,276,217,58,13,0,0,12,28,7,6,0,0,162,1,7,Match Report
28,2021-03-04,18:00 (20:00),Matchweek 29,Thu,Home,L,0,1,Everton,514,466,45,9,0,7,25,29,3,3,0,0,391,3,8,Match Report
29,2021-03-07,12:00 (14:00),Matchweek 27,Sun,Home,D,0,0,Newcastle Utd,464,411,52,11,0,6,36,26,9,5,1,1,328,1,8,Match Report
30,2021-03-13,15:00 (17:00),Matchweek 28,Sat,Away,L,0,1,Crystal Palace,458,405,52,16,0,4,21,31,2,2,0,0,343,1,10,Match Report
31,2021-04-03,12:30 (13:30),Matchweek 30,Sat,Away,W,5,2,Chelsea,339,286,49,9,1,3,8,27,3,2,0,0,244,4,10,Match Report
32,2021-04-12,18:00 (19:00),Matchweek 31,Mon,Home,W,3,0,Southampton,326,278,44,11,0,1,17,16,5,4,0,0,215,4,6,Match Report
33,2021-04-22,20:00 (21:00),Matchweek 32,Thu,Away,L,0,3,Leicester City,294,241,53,14,0,2,10,24,3,3,0,0,188,0,6,Match Report
34,2021-04-25,19:00 (20:00),Matchweek 33,Sun,Away,D,2,2,Aston Villa,267,223,43,13,1,2,13,12,4,3,0,1,155,1,6,Match Report
35,2021-05-03,18:00 (19:00),Matchweek 34,Mon,Home,D,1,1,Wolves,387,338,48,13,0,5,20,21,5,3,0,0,270,1,6,Match Report
36,2021-05-09,19:00 (20:00),Matchweek 35,Sun,Away,L,1,3,Arsenal,336,290,44,7,0,2,23,21,6,4,0,0,233,2,2,Match Report
37,2021-05-16,16:30 (17:30),Matchweek 36,Sun,Home,L,1,2,Liverpool,241,187,51,15,0,2,22,10,9,3,4,1,140,3,4,Match Report
38,2021-05-19,20:15 (21:15),Matchweek 37,Wed,Home,L,1,3,West Ham,409,361,46,10,1,0,24,18,5,3,0,0,287,2,8,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Away,L,1,3,Leeds United,306,253,50,15,0,2,11,16,3,2,1,0,211,3,5,Match Report
40,,,,,,5-11-22,35,76,,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275,
