,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,2,0,0,6,13,2,12,9,10,0,1,0,47,18,17,51.4,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,2,0,0,10,11,4,14,15,15,0,0,0,59,14,31,31.1,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,1,0,0,11,12,2,14,11,11,1,0,0,48,17,16,51.5,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,2,0,0,16,10,2,14,11,19,0,0,0,52,16,8,66.7,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,3,1,1,12,13,3,18,8,14,0,0,0,52,17,16,51.5,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,2,0,0,8,9,2,13,10,10,0,0,0,52,21,13,61.8,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,1,0,0,8,7,2,20,12,16,0,0,0,59,25,24,51.0,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,3,0,0,11,7,2,15,9,11,0,1,0,51,27,20,57.4,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,2,0,0,15,15,4,5,8,10,0,0,0,60,22,24,47.8,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,2,0,0,7,10,4,34,9,8,0,0,0,62,19,24,44.2,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,2,0,0,10,7,1,34,5,8,0,0,0,52,18,20,47.4,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,1,0,0,10,16,1,21,12,8,0,0,1,43,23,34,40.4,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,3,0,0,12,14,4,21,5,6,0,0,0,59,22,27,44.9,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,3,0,0,16,0,0,15,15,13,0,0,0,53,25,21,54.3,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,2,0,0,9,7,3,16,13,15,0,0,0,63,16,27,37.2,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,2,0,0,12,6,1,19,17,16,0,0,0,53,12,18,40.0,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,3,0,0,14,9,2,20,12,11,0,0,0,68,31,33,48.4,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,2,0,0,10,5,2,25,20,15,0,0,0,64,27,15,64.3,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,4,0,0,16,4,2,17,10,14,0,1,0,58,25,14,64.1,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,1,0,0,3,11,1,25,9,16,1,0,0,64,18,22,45.0,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,0,0,0,6,11,1,19,14,12,0,0,0,62,37,40,48.1,Match Report
21,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Everton,1,0,0,11,13,3,27,9,13,0,0,0,62,36,25,59.0,Match Report
22,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Away,L,1,4,Leicester City,1,0,0,19,9,1,15,10,3,1,1,0,49,21,24,46.7,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Home,L,0,2,Liverpool,2,0,0,6,6,1,19,9,9,0,1,0,52,16,13,55.2,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,3,3,Brighton,1,0,0,8,9,2,22,15,16,0,0,1,53,28,28,50.0,Match Report
