,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,445,392,51,16,0,5,12,22,1,1,0,0,350,2,8,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,418,359,55,12,1,2,14,21,6,5,1,0,293,4,11,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,429,378,49,12,2,8,14,17,7,4,3,0,337,2,10,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,508,463,43,13,2,3,14,14,8,4,3,0,416,2,12,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,522,464,55,15,0,4,18,27,4,0,3,0,422,3,16,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,473,420,51,8,0,7,13,33,3,0,2,0,362,2,8,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,514,478,34,8,1,3,20,13,6,1,4,0,384,2,8,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,560,513,45,11,1,2,15,23,2,1,1,0,455,2,9,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,428,362,62,22,3,1,5,28,2,1,1,0,295,4,11,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,609,551,54,14,2,9,34,25,10,7,3,0,465,4,12,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,655,597,57,11,1,4,34,32,7,1,6,0,546,1,8,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,507,448,58,24,2,2,21,20,4,2,1,0,371,1,10,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,463,402,57,19,0,3,21,27,3,1,2,0,351,4,11,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,386,354,32,3,1,4,15,14,3,1,2,0,268,0,10,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,536,491,42,11,3,3,16,18,4,2,2,0,424,3,10,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,406,368,37,6,0,3,19,20,4,2,2,0,307,1,7,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,406,348,56,11,0,0,20,24,8,2,5,0,243,2,11,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,439,393,44,6,1,1,25,20,6,4,2,0,314,2,10,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,438,388,48,7,1,4,17,30,5,2,2,0,305,2,15,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,489,447,41,13,0,3,25,16,9,5,2,1,372,1,10,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,560,496,63,12,1,4,19,32,3,2,1,0,407,1,8,Match Report
21,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Everton,494,437,54,14,2,9,27,25,7,4,1,2,369,3,3,Match Report
