,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,43,523,53,151,251,122,6,523,8,12,66.7,15,14,346,14,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,43,533,56,170,276,98,16,533,19,23,82.6,15,16,290,15,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,45,547,71,188,225,139,31,546,10,15,66.7,11,13,333,29,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,48,612,44,131,320,168,37,612,22,28,78.6,12,8,412,30,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,54,631,51,174,272,190,24,631,9,15,60.0,11,13,420,28,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,47,566,54,160,239,174,13,566,4,6,66.7,12,11,361,23,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,50,628,51,159,307,168,30,628,6,12,50.0,10,2,380,35,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,52,654,51,152,371,135,17,654,6,8,75.0,16,8,452,22,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,49,537,87,225,223,97,13,537,12,17,70.6,19,19,290,17,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,60,689,44,168,372,155,29,689,10,14,71.4,7,7,454,35,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,70,752,45,144,352,263,35,752,11,23,47.8,19,6,535,51,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,59,595,68,183,287,126,15,595,4,7,57.1,14,4,366,27,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,48,572,42,139,306,137,17,572,12,19,63.2,14,12,347,25,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,34,520,80,191,216,119,13,520,11,13,84.6,13,5,265,22,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,50,639,43,135,387,123,11,639,17,21,81.0,17,8,420,36,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,36,512,34,100,211,204,26,512,7,14,50.0,9,5,305,26,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,43,521,56,177,215,133,21,521,12,18,66.7,14,9,238,23,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,42,570,70,167,247,161,23,570,16,27,59.3,11,5,309,32,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,43,548,56,140,279,137,20,548,20,27,74.1,14,4,303,27,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,43,598,41,151,306,145,24,597,10,23,43.5,14,7,368,25,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,53,657,62,196,352,115,11,657,18,28,64.3,15,9,401,26,Match Report
