,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,0,0,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,7,0,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,2,0,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,0,0,0,17,16,10,13,2,4,1,0,0,51,41,75,35.3,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,1,0,0,0,1,0,0,0,5,4,0,100.0,Matches
5,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,1,0,0,9,9,6,9,3,4,2,0,0,37,3,12,20.0,Matches
6,7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,0,0,0,6,0,2,0,0,0,0,0,0,2,1,10,9.1,Matches
7,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,2,0,0,9,13,3,5,36,21,0,0,0,140,60,61,49.6,Matches
8,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,2,0,0,7,11,1,69,10,17,0,1,0,67,3,7,30.0,Matches
9,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,7,0,0,18,4,1,9,31,29,0,0,1,154,73,73,50.0,Matches
10,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,5,0,0,22,9,3,382,45,34,0,0,0,221,15,30,33.3,Matches
11,12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,63,6,0,100.0,Matches
12,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,2,0,0,12,33,6,7,17,16,0,0,0,103,19,37,33.9,Matches
13,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,5,0,0,30,59,24,41,31,39,0,0,0,189,9,28,24.3,Matches
14,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,4,0,0,16,15,2,66,20,16,1,0,0,96,42,29,59.2,Matches
15,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,1,0,0,17,18,3,8,14,19,0,0,0,75,9,16,36.0,Matches
16,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,1,0,0,8,2,0,1,16,11,0,1,0,39,16,12,57.1,Matches
17,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,1,0,0,17,24,2,34,22,32,0,0,0,112,6,19,24.0,Matches
18,19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,0,1,0,2,3,0,0,0,1,0,0,0,6,4,1,80.0,Matches
19,20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,1,0,0,2,2,0,43,9,2,0,0,0,29,6,7,46.2,Matches
20,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
21,22,Michail Antonio,jm JAM,"FW,MF",West Ham,29,1990,19.6,3,0,0,41,35,11,48,9,9,0,0,0,62,88,108,44.9,Matches
22,23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,4,0,0,25,20,4,23,11,19,0,0,0,106,13,29,31.0,Matches
23,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0,0,0,5,0,0,1,1,0,0,0,35,5,0,100.0,Matches
24,25,Christian Atsu,gh GHA,MF,Newcastle Utd,27,1992,8.3,2,0,0,11,10,4,17,5,8,0,0,0,42,6,14,30.0,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,26,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,30,1989,34.8,3,1,0,14,20,20,89,14,19,0,0,0,92,33,58,36.3,Matches
27,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,4,1,1,41,22,6,137,47,69,0,2,1,165,70,64,52.2,Matches
28,28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35.0,6,0,0,59,105,9,25,15,30,0,0,0,147,77,169,31.3,Matches
