,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 32_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.1,1.3,3.7,5.1,0.08,0.13,0.21,0.05,0.18,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,3.9,4.5,0.02,0.11,0.12,0.02,0.12,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,16.4,16.4,2.7,19.0,0.67,0.11,0.77,0.67,0.77,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,5.3,5.3,1.7,7.0,0.43,0.14,0.57,0.43,0.57,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.5,12.1,2.3,14.4,0.90,0.14,1.04,0.75,0.89,Matches
6,7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.11,0.05,0.16,0.11,0.16,Matches
7,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,3.0,3.0,2.2,5.1,0.11,0.08,0.18,0.11,0.18,Matches
8,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,20,9,867,9.6,0,3,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.4,0.4,2.2,2.6,0.04,0.22,0.27,0.04,0.27,Matches
