,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,W,1,0,Newcastle Utd,1,8,2,25.0,0.13,0.50,13.9,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Home,W,2,1,Burnley,2,15,9,60.0,0.13,0.22,18.7,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Away,L,1,3,Liverpool,1,9,3,33.3,0.11,0.33,19.0,1,0,0,1.0,1.0,0.11,0.0,0.0,Match Report
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Home,D,2,2,Tottenham,2,26,8,30.8,0.08,0.25,18.1,2,0,0,2.4,2.4,0.09,-0.4,-0.4,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Away,D,2,2,Watford,2,7,4,57.1,0.29,0.50,20.8,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,W,3,2,Aston Villa,3,20,5,25.0,0.10,0.40,16.9,2,1,1,2.4,1.6,0.08,+0.6,+0.4,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Away,D,1,1,Manchester Utd,1,10,5,50.0,0.10,0.20,16.6,1,0,0,1.9,1.9,0.19,-0.9,-0.9,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,W,1,0,Bournemouth,1,12,2,16.7,0.08,0.50,15.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Match Report
8,2019-10-21,20:00 (21:00),Matchweek 9,Mon,Away,L,0,1,Sheffield Utd,0,9,3,33.3,0.00,0.00,18.8,1,0,0,1.0,1.0,0.11,-1.0,-1.0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,D,2,2,Crystal Palace,2,15,6,40.0,0.13,0.33,15.8,1,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,D,1,1,Wolves,1,10,4,40.0,0.10,0.25,14.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Away,L,0,2,Leicester City,0,8,1,12.5,0.00,0.00,15.8,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,D,2,2,Southampton,2,12,5,41.7,0.17,0.40,11.2,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Away,D,2,2,Norwich City,2,15,5,33.3,0.07,0.20,14.5,0,1,1,1.9,1.2,0.08,+0.1,-0.2,Match Report
14,2019-12-05,20:15 (22:15),Matchweek 15,Thu,Home,L,1,2,Brighton,1,12,5,41.7,0.08,0.20,16.1,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Away,W,3,1,West Ham,3,10,3,30.0,0.30,1.00,16.2,0,0,0,1.4,1.4,0.14,+1.6,+1.6,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Home,L,0,3,Manchester City,0,6,1,16.7,0.00,0.00,18.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Away,D,0,0,Everton,0,6,2,33.3,0.00,0.00,13.2,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,D,1,1,Bournemouth,1,17,2,11.8,0.06,0.50,18.0,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Home,L,1,2,Chelsea,1,7,2,28.6,0.14,0.50,15.4,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Home,W,2,0,Manchester Utd,2,10,4,40.0,0.20,0.50,13.9,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Away,D,1,1,Crystal Palace,1,7,4,57.1,0.14,0.25,14.4,1,0,0,1.4,1.4,0.27,-0.4,-0.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Sheffield Utd,1,11,4,36.4,0.09,0.25,18.3,1,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Away,D,2,2,Chelsea,2,2,2,100.0,1.00,1.00,18.8,0,0,0,0.4,0.4,0.20,+1.6,+1.6,Match Report
24,2020-02-02,14:00 (16:00),Matchweek 25,Sun,Away,D,0,0,Burnley,0,13,2,15.4,0.00,0.00,17.5,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report
25,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,For Arsenal,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-16,16:30 (18:30),Matchweek 26,Sun,Home,W,4,0,Newcastle Utd,4,15,7,46.7,0.27,0.57,17.1,1,0,0,2.6,2.6,0.17,+1.4,+1.4,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Home,W,3,2,Everton,3,9,4,44.4,0.33,0.75,13.8,0,0,0,1.3,1.3,0.14,+1.7,+1.7,Match Report
29,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,West Ham,1,9,2,22.2,0.11,0.50,16.7,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Away,L,0,3,Manchester City,0,3,0,0.0,0.00,,16.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Match Report
31,2020-06-20,15:00 (16:00),Matchweek 30,Sat,Away,L,1,2,Brighton,1,13,6,46.2,0.08,0.17,17.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Away,W,2,0,Southampton,2,10,5,50.0,0.20,0.40,14.2,1,0,0,1.9,1.9,0.20,+0.1,+0.1,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,4,0,Norwich City,4,13,8,61.5,0.31,0.50,18.3,2,0,0,1.5,1.5,0.12,+2.5,+2.5,Match Report
34,2020-07-04,17:30 (18:30),Matchweek 33,Sat,Away,W,2,0,Wolves,2,8,4,50.0,0.25,0.50,13.4,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Match Report
35,2020-07-07,20:15 (21:15),Matchweek 34,Tue,Home,D,1,1,Leicester City,1,11,7,63.6,0.09,0.14,16.3,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
36,2020-07-12,16:30 (17:30),Matchweek 35,Sun,Away,L,1,2,Tottenham,1,13,4,30.8,0.08,0.25,19.2,2,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
37,2020-07-15,20:15 (21:15),Matchweek 36,Wed,Home,W,2,1,Liverpool,2,3,2,66.7,0.67,1.00,12.4,0,0,0,0.8,0.8,0.27,+1.2,+1.2,Match Report
38,2020-07-21,20:15 (21:15),Matchweek 37,Tue,Away,L,0,1,Aston Villa,0,7,0,0.0,0.00,,15.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,2,Watford,3,12,4,33.3,0.17,0.50,14.1,0,1,1,2.3,1.5,0.13,+0.7,+0.5,Match Report
40,,,,,,14-14-10,56,48,,56,403,146,36.2,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,+9.0,+8.4,
