,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,277,237,40,14,1,3,8,9,0,0,0,0,214,0,8,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,555,490,60,14,1,5,31,27,10,5,0,0,439,5,14,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,339,279,52,19,2,4,7,21,0,0,0,0,236,8,5,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,422,368,54,15,1,2,14,24,2,1,1,0,341,0,6,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,448,404,41,14,0,3,17,16,2,0,0,1,353,3,13,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,365,323,42,14,0,3,25,8,4,2,1,0,281,0,1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,472,411,59,16,0,3,27,24,7,2,0,0,351,2,8,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,390,336,53,13,0,8,17,22,6,2,2,0,293,1,9,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,495,447,47,14,0,4,31,15,7,6,0,0,399,1,7,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,381,331,48,11,0,1,18,14,7,4,0,0,292,2,11,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,266,207,56,11,1,1,13,22,2,0,0,0,151,3,10,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,429,375,53,16,0,6,27,21,3,2,1,0,325,1,8,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,546,501,44,10,1,6,28,17,11,8,0,0,452,1,7,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,356,298,54,17,2,6,24,15,9,4,1,0,238,4,10,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,396,342,53,18,1,4,23,19,5,5,0,0,302,1,5,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,361,302,59,16,0,8,31,20,8,3,2,1,262,0,9,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,448,389,59,11,1,4,15,32,2,2,0,0,310,0,7,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,497,440,55,17,0,4,27,23,7,2,3,1,378,2,11,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,418,367,50,12,1,1,26,22,5,3,2,0,300,1,7,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,L,0,3,Watford,484,430,51,17,0,3,22,21,3,2,0,0,384,3,3,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,W,2,1,Burnley,360,309,50,14,0,2,13,17,4,2,0,0,240,1,6,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Home,L,1,6,Manchester City,389,343,45,11,0,0,7,14,2,0,1,1,313,1,9,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Brighton,452,395,53,12,0,3,20,29,4,0,2,0,325,4,14,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,2,1,Watford,630,568,62,21,0,3,36,31,6,3,3,0,492,0,17,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,1,2,Bournemouth,517,458,56,11,0,6,24,28,8,5,0,1,380,3,11,Match Report
25,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Home,L,2,3,Tottenham,511,449,62,10,2,3,29,30,12,12,0,0,381,0,17,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,2,Southampton,454,394,58,13,1,5,20,25,6,5,0,0,324,2,9,Match Report
29,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Away,L,0,4,Leicester City,344,282,60,18,0,2,10,27,0,0,0,0,234,2,7,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,445,385,59,14,0,9,26,28,12,4,5,2,340,1,8,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Home,L,1,2,Chelsea,277,223,54,16,0,2,10,19,2,1,0,0,176,0,3,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,424,375,49,15,1,1,34,17,9,4,4,0,312,0,2,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Home,L,0,1,Wolves,458,414,44,18,0,6,15,15,2,1,0,1,367,0,3,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Away,L,0,2,Liverpool,312,253,54,18,0,6,18,23,5,3,0,0,199,5,8,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Home,L,0,3,Manchester Utd,353,301,50,13,0,5,16,21,3,3,0,0,264,2,7,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Home,W,2,0,Crystal Palace,363,306,56,20,0,11,24,21,5,3,2,0,258,1,7,Match Report
