,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,13,11,1,1,0,0,0,1,1,0,0,0,0,0,Match Report
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,25,15,4,1,2,3,0,0,0,0,0,0,0,0,Match Report
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,17,13,1,2,0,0,1,2,2,0,0,0,0,0,Match Report
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,14,11,1,1,0,0,1,0,0,0,0,0,0,0,Match Report
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,17,11,2,1,1,1,1,4,2,1,0,0,1,0,Match Report
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,18,14,0,1,3,0,0,4,2,0,0,2,0,0,Match Report
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,20,11,1,1,4,3,0,2,0,0,0,2,0,0,Match Report
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,24,17,2,1,3,0,1,0,0,0,0,0,0,0,Match Report
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,24,14,5,0,2,2,1,2,0,1,0,0,1,0,Match Report
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,21,14,1,0,4,1,1,2,2,0,0,0,0,0,Match Report
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,33,16,10,2,4,1,0,2,2,0,0,0,0,0,Match Report
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,17,16,0,0,0,1,0,4,4,0,0,0,0,0,Match Report
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,7,1,2,2,0,1,1,2,0,1,0,0,1,0,Match Report
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,10,8,1,1,0,0,0,0,0,0,0,0,0,0,Match Report
