,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,0,0,0,12,7,1,9,9,12,0,0,0,44,17,20,45.9,Match Report
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,1,0,0,9,10,2,15,11,8,0,0,0,69,20,26,43.5,Match Report
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,3,0,0,14,14,2,7,6,12,0,0,0,48,20,21,48.8,Match Report
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,3,0,0,9,12,0,20,13,17,0,0,0,48,15,11,57.7,Match Report
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,4,1,1,7,10,2,7,10,9,1,0,0,46,14,12,53.8,Match Report
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,1,0,0,8,7,4,13,15,6,0,0,0,38,24,22,52.2,Match Report
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,3,0,0,13,16,1,17,10,4,0,0,0,41,25,25,50.0,Match Report
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,1,0,0,13,8,1,26,4,7,0,0,0,49,35,17,67.3,Match Report
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,1,0,0,13,7,3,26,13,12,0,0,0,72,21,21,50.0,Match Report
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,1,0,0,10,7,4,22,15,10,0,0,0,63,17,20,45.9,Match Report
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,2,0,0,12,13,2,35,3,14,0,1,0,63,35,22,61.4,Match Report
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,2,0,0,11,12,2,11,7,13,0,0,0,46,15,26,36.6,Match Report
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,4,0,0,8,11,0,11,11,11,1,0,0,70,12,25,32.4,Match Report
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,0,0,0,11,13,0,21,15,5,0,0,1,63,19,23,45.2,Match Report
14,2021-12-05,14:00 (16:00),Matchweek 15,Sun,Away,D,2,2,Leeds United,3,0,0,9,11,0,13,15,7,0,0,0,56,19,18,51.4,Match Report
15,2021-12-10,20:00 (22:00),Matchweek 16,Fri,Home,W,2,1,Watford,4,0,0,12,18,1,28,11,12,1,0,0,61,24,36,40.0,Match Report
16,2021-12-26,20:00 (22:00),Matchweek 19,Sun,Away,L,0,2,Brighton,3,0,0,10,8,3,24,12,9,0,0,0,53,14,20,41.2,Match Report
17,2021-12-29,20:15 (22:15),Matchweek 20,Wed,Home,L,0,1,Manchester City,0,0,0,12,10,0,10,16,6,0,0,0,43,15,18,45.5,Match Report
18,2022-01-02,14:00 (16:00),Matchweek 21,Sun,Home,W,2,1,Aston Villa,2,0,0,17,11,0,13,8,15,0,0,0,47,10,15,40.0,Match Report
19,2022-01-11,19:45 (21:45),Matchweek 18,Tue,Away,L,1,4,Southampton,1,0,0,8,9,1,13,7,6,0,0,1,56,20,17,54.1,Match Report
20,2022-01-16,14:00 (16:00),Matchweek 22,Sun,Away,L,0,3,Liverpool,1,0,0,6,6,7,4,15,9,0,0,0,73,19,24,44.2,Match Report
21,2022-01-19,20:00 (22:00),Matchweek 17,Wed,Home,L,1,3,Manchester Utd,0,0,0,7,7,3,19,7,11,0,0,0,68,17,31,35.4,Match Report
22,2022-01-22,15:00 (17:00),Matchweek 23,Sat,Home,L,1,2,Wolves,2,0,0,6,7,0,22,10,9,0,0,0,56,25,14,64.1,Match Report
23,2022-02-09,19:45 (21:45),Matchweek 24,Wed,Away,L,0,2,Manchester City,0,0,0,13,6,10,8,11,8,0,1,0,45,8,19,29.6,Match Report
