,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,217,343,63.3,4166,1935,94,123,76.4,83,107,77.6,34,82,41.5,1,0.9,0.5,6,20,8,1,19,Match Report
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,294,424,69.3,4872,1906,152,175,86.9,105,140,75.0,25,74,33.8,0,0.9,0.6,11,29,6,1,22,Match Report
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,358,472,75.8,6499,2605,143,165,86.7,164,192,85.4,38,82,46.3,1,1.0,1.1,9,17,6,0,22,Match Report
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,272,381,71.4,4194,2079,151,179,84.4,77,110,70.0,23,48,47.9,0,0.4,0.3,7,20,7,2,18,Match Report
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,256,353,72.5,4822,2152,104,121,86.0,118,146,80.8,26,61,42.6,1,1.3,0.9,6,24,1,0,15,Match Report
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,201,307,65.5,3746,2036,87,109,79.8,75,108,69.4,25,63,39.7,1,1.1,1.8,6,27,8,5,21,Match Report
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,205,329,62.3,3616,1779,100,125,80.0,79,122,64.8,21,61,34.4,0,0.6,0.6,6,16,4,2,23,Match Report
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,340,469,72.5,5810,2579,181,212,85.4,118,159,74.2,35,71,49.3,0,0.8,1.8,7,28,15,7,27,Match Report
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,367,497,73.8,6729,2511,169,201,84.1,152,189,80.4,42,86,48.8,1,1.1,1.1,13,29,7,1,40,Match Report
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,423,575,73.6,7730,2599,184,223,82.5,184,227,81.1,52,102,51.0,1,0.4,0.4,5,28,4,1,24,Match Report
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,474,627,75.6,8634,3350,212,257,82.5,186,234,79.5,66,100,66.0,1,2.7,1.5,15,51,13,6,33,Match Report
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,251,378,66.4,4703,2128,115,147,78.2,92,130,70.8,39,80,48.8,2,0.5,0.5,7,19,8,1,23,Match Report
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,262,399,65.7,4905,2241,107,137,78.1,112,156,71.8,34,84,40.5,0,0.4,0.4,3,16,1,0,17,Match Report
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,436,569,76.6,8351,2532,152,187,81.3,223,271,82.3,57,92,62.0,0,0.4,0.7,4,31,5,1,22,Match Report
14,2021-12-05,14:00 (16:00),Matchweek 15,Sun,Away,D,2,2,Leeds United,223,341,65.4,3950,1598,103,136,75.7,80,113,70.8,30,70,42.9,1,0.8,0.6,7,14,6,2,16,Match Report
15,2021-12-10,20:00 (22:00),Matchweek 16,Fri,Home,W,2,1,Watford,385,540,71.3,7434,2728,139,183,76.0,199,244,81.6,42,93,45.2,1,0.7,0.5,9,38,10,2,40,Match Report
16,2021-12-26,20:00 (22:00),Matchweek 19,Sun,Away,L,0,2,Brighton,374,503,74.4,6701,2570,163,204,79.9,180,214,84.1,29,64,45.3,0,0.8,0.6,13,20,8,3,19,Match Report
17,2021-12-29,20:15 (22:15),Matchweek 20,Wed,Home,L,0,1,Manchester City,144,240,60.0,2670,1092,61,76,80.3,55,78,70.5,19,67,28.4,0,0.4,0.2,3,7,1,0,5,Match Report
18,2022-01-02,14:00 (16:00),Matchweek 21,Sun,Home,W,2,1,Aston Villa,320,437,73.2,6166,2335,102,129,79.1,191,230,83.0,26,68,38.2,1,0.6,0.4,7,22,3,1,29,Match Report
19,2022-01-11,19:45 (21:45),Matchweek 18,Tue,Away,L,1,4,Southampton,345,475,72.6,5849,2149,156,201,77.6,143,170,84.1,31,67,46.3,1,0.5,0.5,4,30,9,4,27,Match Report
