,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,343,295,47,9,1,0,9,19,2,2,0,0,217,1,11,Match Report
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,424,379,43,12,0,6,15,19,5,4,0,0,294,2,10,Match Report
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,472,425,45,16,3,4,7,21,2,2,0,0,358,2,10,Match Report
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,381,336,45,14,0,1,20,22,1,0,0,0,272,0,12,Match Report
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,353,310,41,11,5,1,7,16,2,2,0,0,256,2,8,Match Report
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,307,261,42,11,5,2,13,15,2,1,1,0,201,4,7,Match Report
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,329,268,60,17,2,1,17,20,6,5,1,0,205,1,10,Match Report
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,469,415,53,12,0,1,26,29,5,2,2,0,340,1,12,Match Report
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,497,447,47,8,2,4,26,21,9,3,4,0,367,3,9,Match Report
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,575,528,43,9,0,3,22,20,2,1,0,0,423,4,9,Match Report
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,627,569,56,16,0,4,35,28,6,3,3,0,474,2,12,Match Report
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,378,327,49,12,0,0,11,23,2,2,0,0,251,2,8,Match Report
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,399,352,47,13,1,1,11,23,3,2,0,0,262,0,9,Match Report
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,569,522,47,13,1,5,21,22,5,5,0,0,436,0,13,Match Report
14,2021-12-05,14:00 (16:00),Matchweek 15,Sun,Away,D,2,2,Leeds United,341,297,44,17,0,0,13,18,1,1,0,0,223,0,8,Match Report
15,2021-12-10,20:00 (22:00),Matchweek 16,Fri,Home,W,2,1,Watford,540,474,65,17,0,1,28,34,8,6,1,0,385,1,7,Match Report
16,2021-12-26,20:00 (22:00),Matchweek 19,Sun,Away,L,0,2,Brighton,503,449,51,10,0,2,24,19,9,6,3,0,374,3,14,Match Report
17,2021-12-29,20:15 (22:15),Matchweek 20,Wed,Home,L,0,1,Manchester City,240,201,39,13,0,2,10,10,3,0,0,2,144,0,6,Match Report
18,2022-01-02,14:00 (16:00),Matchweek 21,Sun,Home,W,2,1,Aston Villa,437,390,47,15,0,0,13,19,3,0,2,1,320,0,8,Match Report
19,2022-01-11,19:45 (21:45),Matchweek 18,Tue,Away,L,1,4,Southampton,475,425,49,9,3,2,13,27,2,2,0,0,345,1,13,Match Report
20,2022-01-16,14:00 (16:00),Matchweek 22,Sun,Away,L,0,3,Liverpool,366,326,33,8,4,0,4,12,0,0,0,0,227,7,5,Match Report
21,2022-01-19,20:00 (22:00),Matchweek 17,Wed,Home,L,1,3,Manchester Utd,446,400,43,9,3,0,19,16,6,4,0,2,308,3,7,Match Report
22,2022-01-22,15:00 (17:00),Matchweek 23,Sat,Home,L,1,2,Wolves,509,455,54,11,2,1,22,29,6,4,1,0,365,0,12,Match Report
23,2022-02-09,19:45 (21:45),Matchweek 24,Wed,Away,L,0,2,Manchester City,262,215,37,9,1,0,8,14,3,3,0,0,151,10,8,Match Report
24,2022-02-12,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Crystal Palace,417,380,37,10,1,2,13,19,3,0,1,0,286,0,10,Match Report
