,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,2,8,3,37.5,0.25,0.67,12.1,0,0,0,1.6,1.6,0.20,+0.4,+0.4,Match Report
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0,14,3,21.4,0.00,0.00,18.0,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,1,9,2,22.2,0.11,0.50,15.6,0,0,0,1.0,1.0,0.12,0.0,0.0,Match Report
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,0,7,1,14.3,0.00,0.00,20.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,2,8,2,25.0,0.13,0.50,18.7,0,1,1,2.5,1.7,0.22,-0.5,-0.7,Match Report
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,3,12,3,25.0,0.25,1.00,12.0,0,0,0,2.2,2.2,0.19,+0.8,+0.8,Match Report
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,2,13,6,46.2,0.15,0.33,13.9,1,0,0,1.3,1.3,0.11,+0.7,+0.7,Match Report
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,0,17,6,35.3,0.00,0.00,14.5,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Match Report
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,1,15,5,33.3,0.07,0.20,16.3,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,1,12,4,33.3,0.08,0.25,18.2,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,1,19,7,36.8,0.05,0.14,10.8,0,0,0,2.6,2.6,0.15,-1.6,-1.6,Match Report
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,2,10,3,30.0,0.20,0.67,18.5,1,0,0,0.9,0.9,0.09,+1.1,+1.1,Match Report
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,1,5,3,60.0,0.00,0.00,18.9,0,1,1,1.3,0.5,0.11,-0.3,-0.5,Match Report
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,0,6,2,33.3,0.00,0.00,17.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
14,2021-12-05,14:00 (16:00),Matchweek 15,Sun,Away,D,2,2,Leeds United,2,9,3,33.3,0.22,0.67,16.7,1,0,0,1.0,1.0,0.11,+1.0,+1.0,Match Report
15,2021-12-10,20:00 (22:00),Matchweek 16,Fri,Home,W,2,1,Watford,2,13,4,30.8,0.08,0.25,15.5,0,1,1,1.7,0.9,0.07,+0.3,+0.1,Match Report
16,2021-12-26,20:00 (22:00),Matchweek 19,Sun,Away,L,0,2,Brighton,0,16,5,31.3,0.00,0.00,17.1,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
17,2021-12-29,20:15 (22:15),Matchweek 20,Wed,Home,L,0,1,Manchester City,0,6,2,33.3,0.00,0.00,24.6,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
18,2022-01-02,14:00 (16:00),Matchweek 21,Sun,Home,W,2,1,Aston Villa,2,10,4,40.0,0.20,0.50,17.7,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report
19,2022-01-11,19:45 (21:45),Matchweek 18,Tue,Away,L,1,4,Southampton,1,5,4,80.0,0.20,0.25,12.8,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Match Report
20,2022-01-16,14:00 (16:00),Matchweek 22,Sun,Away,L,0,3,Liverpool,0,6,1,16.7,0.00,0.00,21.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
21,2022-01-19,20:00 (22:00),Matchweek 17,Wed,Home,L,1,3,Manchester Utd,1,18,9,50.0,0.06,0.11,16.7,0,0,0,2.5,2.5,0.15,-1.5,-1.5,Match Report
22,2022-01-22,15:00 (17:00),Matchweek 23,Sat,Home,L,1,2,Wolves,1,11,1,9.1,0.09,1.00,13.6,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
23,2022-02-09,19:45 (21:45),Matchweek 24,Wed,Away,L,0,2,Manchester City,0,6,2,33.3,0.00,0.00,18.2,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
24,2022-02-12,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Crystal Palace,0,9,2,22.2,0.00,0.00,12.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Match Report
25,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,For Brentford,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2022-02-19,15:00 (17:00),Matchweek 26,Sat,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.50,20.7,0,0,0,0.9,0.9,0.16,+0.1,+0.1,Match Report
28,2022-02-26,15:00 (17:00),Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0,6,1,16.7,0.00,0.00,16.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
29,2022-03-05,15:00 (17:00),Matchweek 28,Sat,Away,W,3,1,Norwich City,3,8,4,50.0,0.13,0.25,21.4,0,2,2,2.0,0.4,0.05,+1.0,+0.6,Match Report
30,2022-03-12,15:00 (17:00),Matchweek 29,Sat,Home,W,2,0,Burnley,2,12,2,16.7,0.08,0.50,21.5,0,1,1,2.0,1.2,0.10,0.0,-0.2,Match Report
31,2022-03-20,14:00 (16:00),Matchweek 30,Sun,Away,L,1,2,Leicester City,1,15,6,40.0,0.07,0.17,14.9,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Match Report
32,2022-04-02,15:00 (16:00),Matchweek 31,Sat,Away,W,4,1,Chelsea,4,17,6,35.3,0.24,0.67,13.5,1,0,0,2.2,2.2,0.13,+1.8,+1.8,Match Report
33,2022-04-10,14:00 (15:00),Matchweek 32,Sun,Home,W,2,0,West Ham,2,15,7,46.7,0.13,0.29,15.8,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report
34,2022-04-16,15:00 (16:00),Matchweek 33,Sat,Away,W,2,1,Watford,2,16,5,31.3,0.13,0.40,19.7,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Match Report
35,2022-04-23,17:30 (18:30),Matchweek 34,Sat,Home,D,0,0,Tottenham,0,15,1,6.7,0.00,0.00,15.3,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report
36,2022-05-02,20:00 (21:00),Matchweek 35,Mon,Away,L,0,3,Manchester Utd,0,12,4,33.3,0.00,0.00,19.0,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
37,2022-05-07,15:00 (16:00),Matchweek 36,Sat,Home,W,3,0,Southampton,3,18,5,27.8,0.17,0.60,13.9,1,0,0,2.8,2.8,0.16,+0.2,+0.2,Match Report
38,2022-05-15,16:30 (17:30),Matchweek 37,Sun,Away,W,3,2,Everton,2,18,6,33.3,0.11,0.33,18.1,1,0,0,1.6,1.6,0.09,+0.4,+0.4,Match Report
39,2022-05-22,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Leeds United,1,14,5,35.7,0.07,0.20,13.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
40,,,,,,13-7-18,48,56,,46,436,141,32.3,0.09,0.28,16.3,11,6,6,51.1,46.4,0.11,-5.1,-6.4,
