,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-13,20:00 (21:00),Matchweek 1,Fri,Home,W,2,0,Arsenal,1.6,1.6,36,16479,Pontus Jansson,3-5-2,Michael Oliver,Match Report,
1,2021-08-21,15:00 (16:00),Matchweek 2,Sat,Away,D,0,0,Crystal Palace,1.0,0.8,47,23091,Pontus Jansson,3-5-2,Martin Atkinson,Match Report,
2,2021-08-28,15:00 (16:00),Matchweek 3,Sat,Away,D,1,1,Aston Villa,1.0,0.8,54,42045,Pontus Jansson,3-4-1-2,Peter Bankes,Match Report,
3,2021-09-11,15:00 (16:00),Matchweek 4,Sat,Home,L,0,1,Brighton,0.4,0.3,41,16518,Pontus Jansson,3-5-2,Graham Scott,Match Report,
4,2021-09-18,12:30 (13:30),Matchweek 5,Sat,Away,W,2,0,Wolves,2.5,0.7,38,30000,Pontus Jansson,3-5-2,Darren England,Match Report,
5,2021-09-25,17:30 (18:30),Matchweek 6,Sat,Home,D,3,3,Liverpool,2.2,2.6,33,16876,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,
6,2021-10-03,14:00 (15:00),Matchweek 7,Sun,Away,W,2,1,West Ham,1.3,1.7,41,49940,Pontus Jansson,3-5-2,Peter Bankes,Match Report,
7,2021-10-16,17:30 (18:30),Matchweek 8,Sat,Home,L,0,1,Chelsea,1.5,0.4,45,16940,Pontus Jansson,3-5-2,Anthony Taylor,Match Report,
8,2021-10-24,14:00 (15:00),Matchweek 9,Sun,Home,L,1,2,Leicester City,1.4,1.5,54,16814,Pontus Jansson,3-5-2,Simon Hooper,Match Report,
9,2021-10-30,15:00 (16:00),Matchweek 10,Sat,Away,L,1,3,Burnley,0.9,2.5,59,18821,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
10,2021-11-06,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Norwich City,2.6,1.3,64,16837,Pontus Jansson,3-5-2,Jarred Gillett,Match Report,
11,2021-11-20,15:00 (17:00),Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,0.9,1.9,47,52131,Pontus Jansson,3-5-2,Robert Jones,Match Report,
12,2021-11-28,14:00 (16:00),Matchweek 13,Sun,Home,W,1,0,Everton,1.3,1.3,40,16957,Pontus Jansson,3-5-2,Darren England,Match Report,
13,2021-12-02,19:30 (21:30),Matchweek 14,Thu,Away,L,0,2,Tottenham,0.4,2.2,53,54202,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
14,2021-12-05,14:00 (16:00),Matchweek 15,Sun,Away,D,2,2,Leeds United,1.0,1.1,37,35639,Pontus Jansson,3-5-2,David Coote,Match Report,
15,2021-12-10,20:00 (22:00),Matchweek 16,Fri,Home,W,2,1,Watford,1.7,0.7,63,16861,Pontus Jansson,3-5-2,Michael Oliver,Match Report,
16,2021-12-26,20:00 (22:00),Matchweek 19,Sun,Away,L,0,2,Brighton,1.0,1.1,50,30141,Pontus Jansson,3-5-2,Darren England,Match Report,
17,2021-12-29,20:15 (22:15),Matchweek 20,Wed,Home,L,0,1,Manchester City,0.6,1.0,24,17009,Pontus Jansson,3-5-2,David Coote,Match Report,
18,2022-01-02,14:00 (16:00),Matchweek 21,Sun,Home,W,2,1,Aston Villa,0.8,1.2,45,16876,Pontus Jansson,3-5-2,Craig Pawson,Match Report,
19,2022-01-11,19:45 (21:45),Matchweek 18,Tue,Away,L,1,4,Southampton,0.6,1.5,52,27383,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,
20,2022-01-16,14:00 (16:00),Matchweek 22,Sun,Away,L,0,3,Liverpool,0.7,3.2,32,52824,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
21,2022-01-19,20:00 (22:00),Matchweek 17,Wed,Home,L,1,3,Manchester Utd,2.5,2.2,44,17094,Pontus Jansson,3-5-2,Andre Marriner,Match Report,
22,2022-01-22,15:00 (17:00),Matchweek 23,Sat,Home,L,1,2,Wolves,1.4,0.3,50,16982,Pontus Jansson,3-5-2,Peter Bankes,Match Report,
23,2022-02-09,19:45 (21:45),Matchweek 24,Wed,Away,L,0,2,Manchester City,0.6,1.8,26,51658,Pontus Jansson,3-5-2,Darren England,Match Report,
24,2022-02-12,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Crystal Palace,1.6,0.4,42,16958,Pontus Jansson,3-5-2,Simon Hooper,Match Report,
25,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
26,2022-02-19,15:00 (17:00),Matchweek 26,Sat,Away,L,1,2,Arsenal,0.9,2.2,34,59249,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
27,2022-02-26,15:00 (17:00),Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0.5,3.1,37,17039,Pontus Jansson,4-3-3,Mike Dean,Match Report,
28,2022-03-05,15:00 (17:00),Matchweek 28,Sat,Away,W,3,1,Norwich City,2.0,1.3,40,26887,Pontus Jansson,4-5-1,Anthony Taylor,Match Report,
29,2022-03-12,15:00 (17:00),Matchweek 29,Sat,Home,W,2,0,Burnley,2.0,0.6,55,17088,Pontus Jansson,4-5-1,Paul Tierney,Match Report,
30,2022-03-20,14:00 (16:00),Matchweek 30,Sun,Away,L,1,2,Leicester City,1.7,1.0,48,31830,Pontus Jansson,4-5-1,Darren England,Match Report,
31,2022-04-02,15:00 (16:00),Matchweek 31,Sat,Away,W,4,1,Chelsea,2.2,1.7,30,39061,Pontus Jansson,5-3-2,Andy Madley,Match Report,
32,2022-04-10,14:00 (15:00),Matchweek 32,Sun,Home,W,2,0,West Ham,1.5,0.4,47,17032,Christian Nørgaard,4-3-3,Martin Atkinson,Match Report,
33,2022-04-16,15:00 (16:00),Matchweek 33,Sat,Away,W,2,1,Watford,1.8,1.8,50,21045,Pontus Jansson,4-3-3,Simon Hooper,Match Report,
34,2022-04-23,17:30 (18:30),Matchweek 34,Sat,Home,D,0,0,Tottenham,1.0,0.8,44,17072,Pontus Jansson,5-3-2,Martin Atkinson,Match Report,
35,2022-05-02,20:00 (21:00),Matchweek 35,Mon,Away,L,0,3,Manchester Utd,0.6,2.2,37,73482,Pontus Jansson,5-3-2,Chris Kavanagh,Match Report,
36,2022-05-07,15:00 (16:00),Matchweek 36,Sat,Home,W,3,0,Southampton,2.8,1.5,41,17051,Pontus Jansson,4-3-3,Michael Salisbury,Match Report,
37,2022-05-15,16:30 (17:30),Matchweek 37,Sun,Away,W,3,2,Everton,1.6,2.0,72,38819,Pontus Jansson,4-3-3,Michael Oliver,Match Report,
38,2022-05-22,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Leeds United,1.2,1.4,49,16957,Pontus Jansson,4-3-3,Paul Tierney,Match Report,
