,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,W,3,0,Watford,11,9,0,1,0,0,1,4,3,0,1,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,D,1,1,West Ham,26,17,4,2,2,1,0,1,0,0,1,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,0,2,Southampton,21,13,4,1,1,2,0,0,0,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,4,Manchester City,11,10,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,D,1,1,Burnley,26,21,2,0,2,0,1,2,2,0,0,0,0,0,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,29,26,1,1,1,0,0,0,0,0,0,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Chelsea,14,10,2,1,1,0,0,0,0,0,0,0,0,0,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Home,W,3,0,Tottenham,32,24,3,1,2,2,0,5,4,0,0,1,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Aston Villa,35,29,2,2,1,1,0,2,0,1,0,0,1,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,W,3,2,Everton,15,12,0,0,0,3,0,4,2,0,0,0,2,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,0,Norwich City,35,24,4,5,0,1,1,4,2,1,0,0,1,0,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,3,Manchester Utd,12,4,3,0,1,2,2,3,0,1,0,0,0,2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Leicester City,14,12,1,0,0,0,1,0,0,0,0,0,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,1,2,Liverpool,21,18,1,0,2,0,0,1,0,0,0,1,0,0,Match Report
14,2019-12-05,20:15 (22:15),Matchweek 15,Thu,Away,W,2,1,Arsenal,34,20,7,0,3,4,0,4,3,1,0,0,0,0,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Home,D,2,2,Wolves,19,13,2,1,2,1,0,4,4,0,0,0,0,0,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Away,D,1,1,Crystal Palace,26,15,5,1,3,1,1,2,2,0,0,0,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,15,12,0,1,1,1,0,0,0,0,0,0,0,0,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Away,L,1,2,Tottenham,21,12,2,1,1,4,1,2,0,1,0,0,1,0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Home,W,2,0,Bournemouth,30,24,2,3,1,0,0,3,2,0,1,0,0,0,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,D,1,1,Chelsea,27,15,4,1,4,3,0,2,1,1,0,0,0,0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,1,Everton,18,13,1,3,0,1,0,0,0,0,0,0,0,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Aston Villa,19,12,2,0,2,1,2,2,2,0,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,L,1,3,Bournemouth,33,27,1,1,2,1,1,2,1,0,1,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,D,3,3,West Ham,35,29,1,1,2,2,0,2,2,0,0,0,0,0,Match Report
25,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-08,17:30 (19:30),Matchweek 26,Sat,Home,D,1,1,Watford,21,17,1,1,1,0,1,0,0,0,0,0,0,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,D,1,1,Sheffield Utd,12,5,3,0,3,1,0,2,1,1,0,0,0,0,Match Report
