,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,For Brighton & Hove Albion,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,W,3,0,Watford,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,5,15,33.3,31,8,32.3,31.6,8,62.5,45.4,13,0,0.0,0,6.7,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,D,1,1,West Ham,3,1,2,66.7,0,1.0,0.0,0,0,0,0,4,5,80.0,25,6,16.0,28.1,7,14.3,21.9,12,0,0.0,0,,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,0,2,Southampton,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,5,13,38.5,30,7,33.3,29.4,5,60.0,44.6,5,0,0.0,0,,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,4,Manchester City,6,4,2,33.3,0,2.2,-1.8,0,0,0,0,3,6,50.0,33,6,18.2,24.3,12,0.0,14.4,11,0,0.0,1,11.3,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,D,1,1,Burnley,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,5,16,31.3,25,1,52.0,36.4,8,37.5,33.9,15,1,6.7,0,14.0,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,4,0,4,100.0,1,1.4,+1.4,0,0,0,0,6,8,75.0,45,14,15.6,23.3,8,12.5,21.1,15,2,13.3,1,13.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Chelsea,10,2,8,90.0,0,3.6,+1.6,1,1,0,0,3,10,30.0,43,10,23.3,25.1,5,0.0,12.4,10,1,10.0,0,10.0,Match Report
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Home,W,3,0,Tottenham,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,7,12,58.3,38,9,26.3,29.8,4,50.0,38.5,13,0,0.0,1,22.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Aston Villa,8,2,6,75.0,0,2.6,+0.6,0,0,0,0,7,12,58.3,27,8,29.6,29.2,12,33.3,28.1,28,2,7.1,1,12.0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,W,3,2,Everton,6,2,5,66.7,0,0.9,-0.1,0,0,0,0,2,4,50.0,45,12,8.9,23.4,7,0.0,11.3,10,0,0.0,1,21.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,0,Norwich City,0,0,0,,1,0.0,0.0,0,0,0,0,3,6,50.0,31,5,16.1,26.1,4,25.0,26.3,3,0,0.0,0,10.5,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,3,Manchester Utd,11,3,8,72.7,0,3.4,+0.4,0,0,0,0,2,4,50.0,38,11,10.5,24.2,8,0.0,18.5,14,2,14.3,0,9.5,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Leicester City,9,2,7,88.9,0,3.6,+1.6,1,1,0,0,4,7,57.1,25,6,12.0,26.9,7,57.1,39.9,13,1,7.7,1,15.3,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,L,1,2,Liverpool,7,2,5,71.4,0,1.3,-0.7,0,0,0,0,2,2,100.0,35,8,2.9,18.9,4,25.0,21.5,10,0,0.0,1,27.0,Match Report
14,2019-12-05,20:15 (22:15),Matchweek 15,Thu,Away,W,2,1,Arsenal,5,1,4,80.0,0,1.7,+0.7,0,0,0,0,8,13,61.5,29,3,37.9,30.8,5,40.0,33.8,18,1,5.6,1,13.0,Match Report
15,2019-12-08,16:30 (18:30),Matchweek 16,Sun,Home,D,2,2,Wolves,6,2,4,66.7,0,2.3,+0.3,0,0,0,0,7,13,53.8,38,8,34.2,30.3,4,0.0,13.0,8,0,0.0,4,28.3,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Away,D,1,1,Crystal Palace,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,7,9,77.8,25,8,28.0,30.0,5,40.0,34.6,12,1,8.3,0,17.0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,0,1,Sheffield Utd,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,1,4,25.0,39,7,10.3,25.5,8,0.0,18.3,5,0,0.0,0,9.0,Match Report
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Away,L,1,2,Tottenham,5,2,3,60.0,0,1.5,-0.5,0,0,0,0,4,10,40.0,30,7,30.0,30.0,4,25.0,29.0,13,0,0.0,0,7.0,Match Report
19,2019-12-28,12:30 (14:30),Matchweek 20,Sat,Home,W,2,0,Bournemouth,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,11,17,64.7,23,3,39.1,37.3,9,88.9,55.4,6,0,0.0,0,,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,D,1,1,Chelsea,4,1,3,75.0,0,1.0,0.0,0,0,0,0,3,8,37.5,36,4,22.2,28.9,8,0.0,16.5,8,0,0.0,0,,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,1,Everton,6,1,5,83.3,0,2.1,+1.1,0,0,0,0,8,14,57.1,27,10,37.0,30.8,8,50.0,42.5,22,0,0.0,3,24.8,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Aston Villa,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,7,12,58.3,31,6,35.5,33.7,9,11.1,21.4,15,2,13.3,1,12.6,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,L,1,3,Bournemouth,3,3,1,0.0,0,1.0,-1.0,0,0,0,0,3,3,100.0,33,4,9.1,24.9,6,0.0,21.2,6,1,16.7,0,9.1,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,D,3,3,West Ham,6,3,3,50.0,0,0.4,-2.6,0,0,0,0,3,14,21.4,34,10,23.5,28.8,8,75.0,50.3,20,1,5.0,0,5.5,Match Report
