,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,9,27,33.3,30,5,73.3,47.6,6,83.3,67.2,9,0,0.0,2,22.5,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,9,2,7,77.8,0,1.1,-0.9,0,0,0,0,7,19,36.8,22,3,59.1,43.9,6,100.0,63.8,13,0,0.0,4,24.4,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,2,1,1,100.0,0,1.2,+0.2,1,1,0,0,5,30,16.7,25,4,80.0,55.8,11,90.9,70.4,18,3,16.7,1,12.3,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,7,3,5,57.1,0,2.0,0.0,0,0,0,0,5,23,21.7,30,6,66.7,46.9,5,60.0,51.6,15,0,0.0,2,23.7,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,5,28,17.9,28,3,71.4,44.5,12,66.7,48.7,12,2,16.7,5,17.4,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,2,0,2,100.0,1,0.6,+0.6,0,0,0,0,4,12,33.3,10,4,60.0,47.4,7,85.7,69.4,9,1,11.1,4,20.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,3,2,1,33.3,0,0.9,-1.1,0,0,0,0,10,29,34.5,21,2,81.0,53.1,13,92.3,65.6,23,0,0.0,0,12.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,5,17,29.4,18,4,66.7,46.3,6,83.3,62.3,17,0,0.0,0,6.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,3,2,1,33.3,0,0.7,-1.3,0,0,0,0,8,13,61.5,6,1,50.0,41.5,10,100.0,69.1,17,0,0.0,0,,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Home,L,2,4,Chelsea,7,4,3,42.9,0,1.7,-2.3,0,0,0,0,7,21,33.3,24,4,75.0,43.8,3,100.0,69.7,11,1,9.1,0,10.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,6,3,3,50.0,0,3.6,+0.6,0,0,0,0,9,30,30.0,32,7,65.6,49.1,10,90.0,62.4,16,0,0.0,2,25.0,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,3,0,West Ham,4,0,4,100.0,1,0.6,+0.6,0,0,0,0,12,27,44.4,23,1,95.7,55.4,5,100.0,62.6,12,2,16.7,1,16.7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,3,0,Watford,4,0,4,100.0,1,0.5,+0.5,0,0,0,0,10,31,32.3,27,2,81.5,56.7,9,100.0,66.7,25,3,12.0,1,11.5,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,2,Crystal Palace,2,2,0,0.0,0,0.2,-1.8,0,0,0,0,7,24,29.2,25,5,68.0,49.4,7,100.0,67.9,11,0,0.0,3,16.1,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Home,L,1,4,Manchester City,8,4,4,50.0,0,3.5,-0.5,0,0,0,0,9,27,33.3,23,3,87.0,49.2,7,100.0,69.9,17,3,17.6,1,11.4,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,L,0,5,Tottenham,7,5,2,28.6,0,3.4,-1.6,0,0,0,0,11,24,45.8,30,7,66.7,44.0,5,80.0,63.2,5,1,20.0,4,20.0,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,0,0,0,,1,0.0,0.0,0,0,0,0,6,19,31.6,20,9,45.0,37.8,10,100.0,67.5,20,5,25.0,1,13.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,1,0,Bournemouth,0,0,0,,1,0.0,0.0,0,0,0,0,9,27,33.3,27,7,63.0,44.1,10,100.0,64.5,18,3,16.7,0,8.0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,0,1,Everton,5,1,4,80.0,0,1.5,+0.5,0,0,0,0,7,25,28.0,26,6,69.2,47.4,8,87.5,62.4,26,2,7.7,0,9.3,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Home,L,0,2,Manchester Utd,4,2,2,50.0,0,1.8,-0.2,0,0,0,0,8,22,36.4,22,4,63.6,41.5,9,88.9,69.1,7,0,0.0,1,17.5,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Home,L,1,2,Aston Villa,6,2,4,66.7,0,0.9,-1.1,0,0,0,0,8,20,40.0,23,4,69.6,47.5,4,100.0,62.3,12,0,0.0,0,,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,L,0,3,Chelsea,8,3,5,75.0,0,2.5,-0.5,1,1,0,0,6,23,26.1,24,5,54.2,42.3,10,100.0,66.5,20,2,10.0,1,10.8,Match Report
22,2020-01-19,14:00 (16:00),Matchweek 23,Sun,Home,W,2,1,Leicester City,8,1,6,87.5,0,2.7,+1.7,1,0,1,0,7,21,33.3,29,10,48.3,39.6,7,100.0,62.1,15,1,6.7,0,10.3,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Away,W,2,0,Manchester Utd,7,0,7,100.0,1,1.8,+1.8,0,0,0,0,7,29,24.1,26,7,73.1,51.3,11,90.9,61.3,19,1,5.3,3,22.0,Match Report
24,2020-02-02,14:00 (16:00),Matchweek 25,Sun,Home,D,0,0,Arsenal,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,6,19,31.6,17,2,76.5,49.1,8,75.0,57.1,20,0,0.0,2,28.7,Match Report
25,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Away,W,2,1,Southampton,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,7,24,29.2,25,4,76.0,54.0,5,100.0,64.2,20,1,5.0,0,5.0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,3,0,Bournemouth,4,0,4,100.0,1,1.3,+1.3,0,0,0,0,5,21,23.8,20,4,70.0,45.1,7,100.0,59.1,14,3,21.4,2,14.8,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,0,0,Newcastle Utd,4,0,4,100.0,1,0.7,+0.7,0,0,0,0,7,26,26.9,24,5,79.2,51.4,7,100.0,66.9,16,2,12.5,1,11.4,Match Report
30,2020-03-07,17:30 (19:30),Matchweek 29,Sat,Home,D,1,1,Tottenham,2,1,1,100.0,0,1.0,0.0,1,1,0,0,2,16,12.5,21,4,52.4,39.9,5,100.0,70.4,16,1,6.3,0,12.5,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Away,L,0,5,Manchester City,7,5,2,42.9,0,2.6,-2.4,1,1,0,0,5,28,17.9,24,2,75.0,48.5,12,83.3,61.6,6,0,0.0,2,22.3,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,W,1,0,Watford,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,3,20,15.0,28,10,50.0,40.2,7,85.7,67.9,26,5,19.2,2,13.3,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Away,W,1,0,Crystal Palace,4,0,4,100.0,1,0.3,+0.3,0,0,0,0,2,13,15.4,14,1,50.0,46.1,8,75.0,61.8,21,0,0.0,0,7.0,Match Report
34,2020-07-05,12:00 (13:00),Matchweek 33,Sun,Home,D,1,1,Sheffield Utd,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,8,25,32.0,32,9,59.4,47.4,6,100.0,65.8,25,1,4.0,0,8.0,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,W,1,0,West Ham,4,0,4,100.0,1,0.7,+0.7,0,0,0,0,7,27,25.9,21,3,81.0,53.9,10,100.0,68.3,35,4,11.4,0,7.3,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Away,D,1,1,Liverpool,9,1,8,88.9,0,1.7,+0.7,0,0,0,0,8,34,23.5,24,3,87.5,55.7,15,86.7,65.8,22,1,4.5,0,8.5,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,D,1,1,Wolves,5,1,4,80.0,0,0.7,-0.3,0,0,0,0,9,19,47.4,23,7,56.5,44.1,10,60.0,51.4,12,0,0.0,1,14.7,Match Report
38,2020-07-18,17:30 (18:30),Matchweek 37,Sat,Away,W,2,0,Norwich City,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,5,11,45.5,20,6,45.0,38.3,4,50.0,45.0,9,2,22.2,1,11.0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,2,Brighton,4,2,2,50.0,0,1.8,-0.2,0,0,0,0,8,19,42.1,19,7,52.6,44.6,9,100.0,66.0,14,2,14.3,1,13.7,Match Report
40,,,,,,15-9-14,43,50,,167,50,117,72.5,15,45.7,-3.3,5,4,1,0,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,14.9,
