,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,For Burnley,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,W,3,0,Southampton,220,392,56.1,4293,1939,96,132,72.7,84,146,57.5,31,84,36.9,2,0.6,0.4,7,10,4,3,11,Match Report
1,2019-08-17,12:30 (13:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,178,282,63.1,3537,1686,82,102,80.4,65,88,73.9,27,75,36.0,0,0.9,1.0,12,17,8,5,12,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,D,1,1,Wolves,220,342,64.3,4286,1986,95,123,77.2,84,110,76.4,35,94,37.2,1,0.6,0.6,9,24,8,4,24,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Home,L,0,3,Liverpool,216,360,60.0,3788,1942,113,136,83.1,76,113,67.3,23,81,28.4,0,0.8,0.4,6,15,0,0,16,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,D,1,1,Brighton,207,338,61.2,3622,1600,105,126,83.3,73,113,64.6,26,81,32.1,1,0.3,0.2,6,14,6,2,18,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,2,0,Norwich City,305,411,74.2,5257,2332,167,175,95.4,96,135,71.1,38,82,46.3,2,1.9,1.8,12,38,13,4,33,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Aston Villa,201,316,63.6,3756,1645,105,130,80.8,65,94,69.1,29,75,38.7,2,1.4,1.0,8,15,4,3,21,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,1,0,Everton,246,377,65.3,4216,1900,128,150,85.3,85,123,69.1,25,75,33.3,1,0.5,1.1,7,13,8,3,19,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,1,2,Leicester City,251,362,69.3,4435,2041,123,152,80.9,92,122,75.4,28,60,46.7,1,0.7,0.7,8,26,8,3,22,Match Report
