,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0,18,7,38.9,0.00,0.00,19.1,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Home,D,1,1,Leicester City,1,14,5,35.7,0.07,0.20,18.2,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Away,W,3,2,Norwich City,3,23,8,34.8,0.13,0.38,18.9,0,0,0,1.5,1.5,0.07,+1.5,+1.5,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,2,13,5,38.5,0.15,0.40,16.3,1,0,0,2.0,2.0,0.18,0.0,0.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,5,2,Wolves,5,15,6,40.0,0.33,0.83,13.2,0,0,0,2.7,2.7,0.18,+2.3,+2.3,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Home,L,1,2,Liverpool,1,13,2,15.4,0.08,0.50,16.6,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Brighton,2,23,9,39.1,0.04,0.11,16.6,0,1,1,3.7,2.9,0.13,-1.7,-1.9,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,4,1,Southampton,4,13,7,53.8,0.31,0.57,18.0,0,0,0,1.7,1.7,0.13,+2.3,+2.3,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,1,16,7,43.8,0.06,0.14,13.0,1,0,0,2.0,2.0,0.13,-1.0,-1.0,Match Report
9,2019-10-26,17:30 (18:30),Matchweek 10,Sat,Away,W,4,2,Burnley,4,16,7,43.8,0.25,0.57,19.1,1,0,0,0.9,0.9,0.05,+3.1,+3.1,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Away,W,2,1,Watford,2,16,10,62.5,0.13,0.20,17.4,1,0,0,2.1,2.1,0.13,-0.1,-0.1,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Home,W,2,0,Crystal Palace,2,23,5,21.7,0.09,0.40,18.3,4,0,0,3.6,3.6,0.16,-1.6,-1.6,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Away,L,1,2,Manchester City,1,11,2,18.2,0.09,0.50,17.8,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,L,0,1,West Ham,0,19,6,31.6,0.00,0.00,15.0,0,0,0,2.3,2.3,0.12,-2.3,-2.3,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Aston Villa,2,25,9,36.0,0.08,0.22,17.5,1,0,0,1.8,1.8,0.07,+0.2,+0.2,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Away,L,1,3,Everton,1,15,4,26.7,0.07,0.25,15.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Home,L,0,1,Bournemouth,0,18,5,27.8,0.00,0.00,12.4,1,0,0,2.1,2.1,0.12,-2.1,-2.1,Match Report
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Away,W,2,0,Tottenham,2,12,2,16.7,0.08,0.50,19.7,1,1,1,1.3,0.6,0.05,+0.7,+0.4,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,L,0,2,Southampton,0,10,3,30.0,0.00,0.00,15.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
19,2019-12-29,14:00 (16:00),Matchweek 20,Sun,Away,W,2,1,Arsenal,2,13,4,30.8,0.15,0.50,13.7,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,D,1,1,Brighton,1,16,4,25.0,0.06,0.25,17.0,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,3,0,Burnley,3,17,7,41.2,0.12,0.29,15.4,1,1,1,2.7,1.9,0.12,+0.3,+0.1,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,0,19,3,15.8,0.00,0.00,19.0,1,0,0,2.4,2.4,0.13,-2.4,-2.4,Match Report
23,2020-01-21,20:15 (22:15),Matchweek 24,Tue,Home,D,2,2,Arsenal,2,18,7,38.9,0.06,0.14,15.3,0,1,1,2.9,2.1,0.12,-0.9,-1.1,Match Report
24,2020-02-01,12:30 (14:30),Matchweek 25,Sat,Away,D,2,2,Leicester City,2,7,3,42.9,0.29,0.67,14.9,1,0,0,0.6,0.6,0.08,+1.4,+1.4,Match Report
25,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,For Chelsea,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Home,L,0,2,Manchester Utd,0,17,1,5.9,0.00,0.00,17.2,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
28,2020-02-22,12:30 (14:30),Matchweek 27,Sat,Home,W,2,1,Tottenham,2,17,7,41.2,0.12,0.29,18.4,1,0,0,1.7,1.7,0.11,+0.3,+0.3,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,D,2,2,Bournemouth,2,23,6,26.1,0.09,0.33,16.3,0,0,0,1.9,1.9,0.09,+0.1,+0.1,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Home,W,4,0,Everton,4,17,11,64.7,0.24,0.36,20.1,1,0,0,1.8,1.8,0.11,+2.2,+2.2,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Away,W,2,1,Aston Villa,2,19,5,26.3,0.11,0.40,18.7,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Home,W,2,1,Manchester City,2,14,6,42.9,0.07,0.17,11.4,0,1,1,3.2,3.2,0.28,-1.2,-2.2,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Away,L,2,3,West Ham,2,16,5,31.3,0.06,0.20,18.2,1,1,1,1.6,0.8,0.05,+0.4,+0.2,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Home,W,3,0,Watford,3,20,8,40.0,0.10,0.25,19.5,4,1,1,2.5,1.7,0.09,+0.5,+0.3,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Away,W,3,2,Crystal Palace,3,14,6,42.9,0.21,0.50,16.0,1,0,0,1.9,1.9,0.14,+1.1,+1.1,Match Report
36,2020-07-11,17:30 (18:30),Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,0,15,4,26.7,0.00,0.00,15.6,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
37,2020-07-14,20:15 (21:15),Matchweek 36,Tue,Home,W,1,0,Norwich City,1,22,6,27.3,0.05,0.17,12.8,1,0,0,2.5,2.5,0.11,-1.5,-1.5,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Away,L,3,5,Liverpool,3,10,5,50.0,0.30,0.60,12.3,0,0,0,2.4,2.4,0.28,+0.6,+0.6,Match Report
