,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,0,6,2,33.3,0.00,0.00,11.7,0,0,0,0.9,0.9,0.16,-0.9,-0.9,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,0,6,4,66.7,0.00,0.00,22.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,2,5,3,60.0,0.40,0.67,10.7,0,0,0,1.1,1.1,0.22,+0.9,+0.9,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,1,22,5,22.7,0.05,0.20,16.8,1,0,0,1.4,1.4,0.07,-0.4,-0.4,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,0,11,6,54.5,0.00,0.00,15.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,0,13,4,30.8,0.00,0.00,19.7,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,2,14,2,14.3,0.07,0.50,17.0,0,1,1,1.5,0.8,0.06,+0.5,+0.2,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,2,6,2,33.3,0.17,0.50,17.8,0,1,1,2.1,1.4,0.23,-0.1,-0.4,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,0,7,2,28.6,0.00,0.00,16.3,1,0,0,0.9,0.9,0.13,-0.9,-0.9,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,2,9,3,33.3,0.11,0.33,17.8,0,1,1,1.6,0.8,0.09,+0.4,+0.2,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,0,12,3,25.0,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,0,3,1,33.3,0.00,0.00,16.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,1,16,6,37.5,0.06,0.17,21.3,0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,2,7,2,28.6,0.29,1.00,14.1,1,0,0,0.7,0.7,0.10,+1.3,+1.3,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,1,7,2,28.6,0.14,0.50,19.0,1,0,0,0.3,0.3,0.05,+0.7,+0.7,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,0,3,0,0.0,0.00,,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,1,11,4,36.4,0.09,0.25,15.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,0,16,4,25.0,0.00,0.00,17.4,1,0,0,1.3,1.3,0.08,-1.3,-1.3,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,2,13,4,30.8,0.15,0.50,13.0,0,0,0,2.7,2.7,0.21,-0.7,-0.7,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,1,5,2,40.0,0.20,0.50,19.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,1,12,3,25.0,0.08,0.33,17.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Home,D,1,1,Arsenal,1,6,2,33.3,0.17,0.50,17.2,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,2,2,Manchester City,1,5,3,60.0,0.20,0.33,14.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,2,Southampton,0,6,0,0.0,0.00,,14.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,0,1,Sheffield Utd,0,13,3,23.1,0.00,0.00,17.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
25,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Away,L,1,3,Everton,1,10,2,20.0,0.10,0.50,16.0,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,1,0,Newcastle Utd,1,18,9,50.0,0.06,0.11,16.8,2,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Away,W,1,0,Brighton,1,12,3,25.0,0.08,0.33,10.8,0,0,0,2.5,2.5,0.21,-1.5,-1.5,Match Report
