,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2020-09-12,17:30 (18:30),Matchweek 1,Sat,Away,L,3,4,Liverpool,0,0,0,6,9,5,9,12,20,0,2,0,56,12,14,46.2,Match Report
1,2020-09-19,15:00 (16:00),Matchweek 2,Sat,Home,W,4,3,Fulham,1,0,0,13,18,3,20,10,17,1,1,0,67,18,20,47.4,Match Report
2,2020-09-27,12:00 (13:00),Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1,0,0,4,15,1,25,7,7,0,0,0,46,25,23,52.1,Match Report
3,2020-10-03,17:30 (18:30),Matchweek 4,Sat,Home,D,1,1,Manchester City,2,0,0,11,12,2,13,9,14,0,0,0,46,5,13,27.8,Match Report
4,2020-10-19,20:00 (21:00),Matchweek 5,Mon,Home,L,0,1,Wolves,2,0,0,13,11,1,37,12,8,0,0,0,52,9,20,31.0,Match Report
5,2020-10-23,20:00 (21:00),Matchweek 6,Fri,Away,W,3,0,Aston Villa,2,0,0,17,14,0,20,12,4,0,0,0,56,12,17,41.4,Match Report
6,2020-11-02,20:00 (22:00),Matchweek 7,Mon,Home,L,1,4,Leicester City,1,0,0,9,5,2,25,7,9,0,1,0,64,17,7,70.8,Match Report
7,2020-11-07,15:00 (17:00),Matchweek 8,Sat,Away,L,1,4,Crystal Palace,2,0,0,16,8,1,23,14,15,0,0,1,64,14,15,48.3,Match Report
8,2020-11-22,16:30 (18:30),Matchweek 9,Sun,Home,D,0,0,Arsenal,3,0,0,9,8,0,27,9,8,0,0,0,67,11,11,50.0,Match Report
9,2020-11-28,17:30 (19:30),Matchweek 10,Sat,Away,W,1,0,Everton,2,0,0,14,8,6,16,4,8,0,0,0,50,13,16,44.8,Match Report
10,2020-12-05,20:00 (22:00),Matchweek 11,Sat,Away,L,1,3,Chelsea,2,0,0,9,12,4,14,6,18,0,0,0,48,11,11,50.0,Match Report
11,2020-12-11,20:00 (22:00),Matchweek 12,Fri,Home,L,1,2,West Ham,1,0,0,12,9,2,27,16,10,1,0,0,51,15,23,39.5,Match Report
12,2020-12-16,18:00 (20:00),Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,3,0,0,10,12,4,36,19,6,0,0,0,57,18,19,48.6,Match Report
13,2020-12-20,16:30 (18:30),Matchweek 14,Sun,Away,L,2,6,Manchester Utd,0,0,0,6,5,4,35,13,9,0,1,0,58,18,17,51.4,Match Report
14,2020-12-27,12:00 (14:00),Matchweek 15,Sun,Home,W,1,0,Burnley,0,0,0,8,14,3,12,8,9,1,0,0,53,18,18,50.0,Match Report
15,2020-12-29,18:00 (20:00),Matchweek 16,Tue,Away,W,5,0,West Brom,1,0,0,10,6,1,28,6,5,0,0,0,50,25,18,58.1,Match Report
16,2021-01-02,12:30 (14:30),Matchweek 17,Sat,Away,L,0,3,Tottenham,1,0,0,13,15,1,24,14,12,0,1,0,78,8,14,36.4,Match Report
17,2021-01-16,15:00 (17:00),Matchweek 19,Sat,Home,L,0,1,Brighton,1,0,0,8,9,3,29,10,7,0,0,0,61,14,13,51.9,Match Report
18,2021-01-26,18:00 (20:00),Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,3,0,0,15,9,0,11,8,7,0,0,0,59,27,25,51.9,Match Report
19,2021-01-31,14:00 (16:00),Matchweek 21,Sun,Away,W,3,1,Leicester City,3,0,0,16,17,2,9,19,16,0,0,0,65,11,22,33.3,Match Report
20,2021-02-03,19:30 (21:30),Matchweek 22,Wed,Home,L,1,2,Everton,2,0,0,12,12,0,25,11,11,0,0,0,58,11,24,31.4,Match Report
21,2021-02-08,20:00 (22:00),Matchweek 23,Mon,Home,W,2,0,Crystal Palace,0,0,0,7,7,1,15,6,10,0,0,0,56,14,13,51.9,Match Report
22,2021-02-14,16:30 (18:30),Matchweek 24,Sun,Away,L,2,4,Arsenal,2,0,0,17,8,0,17,11,9,0,1,0,65,14,12,53.8,Match Report
23,2021-02-19,20:00 (22:00),Matchweek 25,Fri,Away,L,0,1,Wolves,0,0,0,8,11,1,22,11,11,0,0,1,47,17,12,58.6,Match Report
24,2021-02-23,18:00 (20:00),Matchweek 18,Tue,Home,W,3,0,Southampton,1,0,0,11,12,1,8,10,15,0,0,0,55,7,12,36.8,Match Report
25,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,For Leeds United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2021-02-27,17:30 (19:30),Matchweek 26,Sat,Home,L,0,1,Aston Villa,3,0,0,14,13,0,27,7,10,0,0,0,62,16,21,43.2,Match Report
28,2021-03-08,20:00 (22:00),Matchweek 27,Mon,Away,L,0,2,West Ham,1,0,0,9,9,1,20,10,11,0,1,0,54,15,17,46.9,Match Report
29,2021-03-13,12:30 (14:30),Matchweek 28,Sat,Home,D,0,0,Chelsea,3,0,0,16,6,5,22,19,6,0,0,0,55,7,10,41.2,Match Report
30,2021-03-19,20:00 (22:00),Matchweek 29,Fri,Away,W,2,1,Fulham,2,0,0,12,13,4,19,9,16,0,0,0,53,13,19,40.6,Match Report
31,2021-04-03,15:00 (16:00),Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,1,0,0,12,11,1,16,11,12,0,0,0,69,13,18,41.9,Match Report
32,2021-04-10,12:30 (13:30),Matchweek 31,Sat,Away,W,2,1,Manchester City,1,1,0,15,12,3,9,8,6,0,0,0,40,11,12,47.8,Match Report
33,2021-04-19,20:00 (21:00),Matchweek 32,Mon,Home,D,1,1,Liverpool,2,0,0,7,14,0,26,10,13,0,0,0,54,11,10,52.4,Match Report
34,2021-04-25,14:00 (15:00),Matchweek 33,Sun,Home,D,0,0,Manchester Utd,4,0,0,21,11,2,13,8,17,0,0,0,64,6,13,31.6,Match Report
35,2021-05-01,15:00 (16:00),Matchweek 34,Sat,Away,L,0,2,Brighton,1,0,0,6,15,1,29,7,11,0,1,0,45,12,17,41.4,Match Report
36,2021-05-08,12:30 (13:30),Matchweek 35,Sat,Home,W,3,1,Tottenham,1,0,0,12,10,1,28,13,10,0,0,0,70,22,13,62.9,Match Report
37,2021-05-15,12:30 (13:30),Matchweek 36,Sat,Away,W,4,0,Burnley,1,0,0,10,10,6,21,8,6,0,0,0,55,15,26,36.6,Match Report
38,2021-05-18,18:00 (19:00),Matchweek 37,Tue,Away,W,2,0,Southampton,3,0,0,12,9,1,12,15,20,0,0,0,51,16,10,61.5,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,West Brom,2,0,0,12,11,3,17,8,14,0,0,0,59,17,10,63.0,Match Report
40,,,,,,18-5-15,62,54,,61,1,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1,
