,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,For Leicester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,D,0,0,Wolves,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,1,3,33.3,17,2,17.6,27.8,7,0.0,26.3,5,0,0.0,1,27.0,Match Report
1,2019-08-18,16:30 (17:30),Matchweek 2,Sun,Away,D,1,1,Chelsea,5,1,4,80.0,0,0.3,-0.7,0,0,0,0,7,14,50.0,30,5,20.0,30.7,9,88.9,51.8,18,0,0.0,0,5.0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,3,11,27.3,29,5,20.7,34.3,12,41.7,38.2,28,1,3.6,0,5.0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,3,1,Bournemouth,2,1,1,50.0,0,1.0,0.0,0,0,0,0,2,13,15.4,27,3,29.6,34.5,6,83.3,57.5,14,0,0.0,1,25.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,1,Manchester Utd,5,1,4,100.0,0,1.5,+0.5,1,1,0,0,8,14,57.1,23,2,43.5,34.3,7,57.1,46.1,7,0,0.0,1,30.0,Match Report
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Home,W,2,1,Tottenham,4,1,3,75.0,0,1.2,+0.2,0,0,0,0,8,16,50.0,27,9,44.4,38.4,9,44.4,39.0,17,2,11.8,0,10.5,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,0,0,0,,1,0.0,0.0,0,0,0,0,0,1,0.0,16,3,6.3,25.3,6,0.0,18.2,6,1,16.7,0,11.0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,L,1,2,Liverpool,8,2,6,87.5,0,3.4,+1.4,1,1,0,0,11,23,47.8,31,6,51.6,37.8,9,77.8,59.0,16,1,6.3,2,15.4,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Burnley,4,1,3,75.0,0,1.7,+0.7,0,0,0,0,8,12,66.7,27,8,25.9,32.8,6,83.3,47.5,13,1,7.7,1,15.6,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Away,W,9,0,Southampton,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,2,3,66.7,15,6,20.0,27.7,7,0.0,16.9,6,1,16.7,0,16.3,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Away,W,2,0,Crystal Palace,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,6,11,54.5,23,5,39.1,35.7,7,28.6,26.4,16,1,6.3,0,5.0,Match Report
11,2019-11-09,17:30 (19:30),Matchweek 12,Sat,Home,W,2,0,Arsenal,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,2,4,50.0,17,5,23.5,24.9,5,0.0,23.0,14,0,0.0,1,36.0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Brighton,0,0,0,,1,0.0,0.0,0,0,0,0,3,14,21.4,22,2,50.0,39.4,7,42.9,45.1,19,0,0.0,0,15.0,Match Report
