,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Home,W,4,1,Norwich City,528,478,50,13,0,2,32,18,11,2,6,0,410,0,11,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,W,2,1,Southampton,590,525,64,13,4,9,24,29,9,2,4,0,450,1,16,Match Report
2,2019-08-24,17:30 (18:30),Matchweek 3,Sat,Home,W,3,1,Arsenal,604,558,45,8,1,7,27,19,6,0,4,0,502,1,9,Match Report
3,2019-08-31,17:30 (18:30),Matchweek 4,Sat,Away,W,3,0,Burnley,617,566,50,15,2,5,18,22,4,0,3,0,469,1,6,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,900,857,41,12,2,10,34,13,10,0,7,0,791,2,13,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,W,2,1,Chelsea,458,396,61,15,1,7,10,29,4,0,2,0,334,1,10,Match Report
6,2019-09-28,12:30 (13:30),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,762,715,46,8,1,10,23,23,5,2,2,0,640,1,10,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,W,2,1,Leicester City,554,494,57,17,5,6,17,33,4,1,2,0,423,3,10,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Away,D,1,1,Manchester Utd,701,665,35,10,0,3,25,18,1,1,0,0,575,1,6,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,W,2,1,Tottenham,689,636,53,13,0,8,34,22,8,1,3,2,561,0,15,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,2,1,Aston Villa,707,645,60,14,2,5,39,31,10,4,3,0,573,2,15,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Home,W,3,1,Manchester City,463,416,44,9,0,11,17,19,4,2,1,0,353,3,7,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Crystal Palace,566,509,57,11,3,7,25,27,8,4,3,0,449,0,3,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,2,1,Brighton,520,474,45,16,1,13,12,16,4,1,2,0,413,1,5,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Home,W,5,2,Everton,548,487,58,20,5,6,12,23,5,4,1,0,433,3,5,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,W,3,0,Bournemouth,905,860,44,10,4,10,24,26,3,1,1,0,787,1,5,Match Report
16,2019-12-14,12:30 (14:30),Matchweek 17,Sat,Home,W,2,0,Watford,713,654,54,10,4,6,22,30,6,3,2,0,571,5,13,Match Report
17,2019-12-26,20:00 (22:00),Matchweek 19,Thu,Away,W,4,0,Leicester City,655,605,47,10,2,13,33,25,8,2,5,0,540,3,11,Match Report
18,2019-12-29,16:30 (18:30),Matchweek 20,Sun,Home,W,1,0,Wolves,658,606,50,8,0,6,18,26,5,1,3,0,554,2,8,Match Report
19,2020-01-02,20:00 (22:00),Matchweek 21,Thu,Home,W,2,0,Sheffield Utd,1019,978,40,11,2,9,24,17,8,1,3,0,902,1,6,Match Report
20,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Away,W,1,0,Tottenham,832,791,39,6,3,5,18,21,3,0,2,0,710,2,11,Match Report
21,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Home,W,2,0,Manchester Utd,566,509,55,13,2,3,28,22,11,2,5,0,431,2,7,Match Report
22,2020-01-23,20:00 (22:00),Matchweek 24,Thu,Away,W,2,1,Wolves,628,596,32,7,1,9,12,14,4,1,3,0,522,0,5,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Away,W,2,0,West Ham,873,836,37,5,1,4,20,18,7,1,4,0,762,0,9,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,W,4,0,Southampton,581,511,68,19,1,6,15,29,6,3,1,0,433,2,14,Match Report
25,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,For Liverpool,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-15,17:30 (19:30),Matchweek 26,Sat,Away,W,1,0,Norwich City,685,638,47,6,1,10,30,28,7,2,2,0,556,0,6,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Home,W,3,2,West Ham,692,639,51,11,0,4,38,19,16,5,6,0,565,2,5,Match Report
29,2020-02-29,17:30 (19:30),Matchweek 28,Sat,Away,L,0,3,Watford,782,735,46,8,1,2,26,21,5,2,2,0,641,1,6,Match Report
30,2020-03-07,12:30 (14:30),Matchweek 29,Sat,Home,W,2,1,Bournemouth,789,730,58,17,5,4,30,26,9,3,4,0,653,1,16,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Away,D,0,0,Everton,643,588,54,14,0,10,19,27,6,1,5,0,534,1,10,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Home,W,4,0,Crystal Palace,928,895,33,4,3,9,20,18,6,2,3,0,815,0,9,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Away,L,0,4,Manchester City,596,553,41,10,1,10,21,18,3,2,1,0,498,2,5,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Home,W,2,0,Aston Villa,722,677,44,13,1,12,25,19,7,1,5,0,592,1,12,Match Report
35,2020-07-08,20:15 (21:15),Matchweek 34,Wed,Away,W,3,1,Brighton,538,481,57,12,3,13,32,25,10,4,3,0,427,0,10,Match Report
36,2020-07-11,15:00 (16:00),Matchweek 35,Sat,Home,D,1,1,Burnley,729,672,55,6,1,9,29,32,11,1,8,0,604,2,3,Match Report
37,2020-07-15,20:15 (21:15),Matchweek 36,Wed,Away,L,1,2,Arsenal,685,618,63,19,0,11,34,25,13,1,7,0,564,4,10,Match Report
38,2020-07-22,20:15 (21:15),Matchweek 37,Wed,Home,W,5,3,Chelsea,621,568,53,13,1,6,12,21,6,0,4,0,497,0,11,Match Report
