,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,24,20,0,3,0,1,0,6,4,0,1,0,1,0,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,52,37,5,3,5,1,1,4,4,0,0,0,0,0,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,34,28,2,1,3,0,0,5,3,0,1,1,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,28,24,2,1,0,1,0,8,8,0,0,0,0,0,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,47,34,3,5,3,1,1,4,3,0,1,0,0,0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,52,39,4,4,1,3,1,14,8,1,2,1,2,0,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,38,30,0,4,1,1,2,5,3,0,0,1,1,0,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,34,28,1,0,2,2,1,0,0,0,0,0,0,0,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,39,33,0,5,1,0,0,4,4,0,0,0,0,0,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,46,33,4,5,4,0,0,5,4,0,0,1,0,0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,48,37,4,3,3,1,0,4,4,0,0,0,0,0,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,33,19,6,4,2,2,0,1,1,0,0,0,0,0,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,24,17,1,2,1,2,1,3,1,0,2,0,0,0,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,39,31,3,0,4,0,1,2,2,0,0,0,0,0,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Away,W,4,1,Burnley,30,27,1,1,1,0,0,6,5,0,0,1,0,0,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,40,30,3,2,3,2,0,2,1,1,0,0,0,0,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,25,21,0,2,1,0,1,6,5,0,1,0,0,0,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,44,37,1,3,1,2,0,6,4,0,1,0,1,0,Match Report
18,2019-12-27,19:45 (21:45),Matchweek 19,Fri,Away,L,2,3,Wolves,14,8,0,1,2,2,1,3,2,0,0,1,0,0,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,29,23,1,3,0,2,0,3,2,0,1,0,0,0,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,2,1,Everton,30,23,3,1,2,1,0,3,3,0,0,0,0,0,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,40,30,1,6,1,1,1,10,6,0,3,0,0,1,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,43,38,1,1,2,1,0,4,4,0,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,34,25,3,3,0,3,0,2,2,0,0,0,0,0,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,33,23,1,1,5,2,1,0,0,0,0,0,0,0,Match Report
25,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Home,W,2,0,West Ham,36,25,2,5,2,1,1,4,2,1,0,1,0,0,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,33,23,2,0,3,2,3,2,2,0,0,0,0,0,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,13,11,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,36,26,1,3,1,4,1,5,2,0,1,1,1,0,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,37,31,1,2,1,2,0,9,6,1,0,1,1,0,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,21,14,3,1,0,3,0,2,1,0,0,0,1,0,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,25,19,1,4,0,1,0,6,4,1,0,0,1,0,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Away,L,0,1,Southampton,43,33,2,2,4,1,1,0,0,0,0,0,0,0,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,44,37,1,3,0,2,1,8,6,0,0,0,1,1,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Away,W,5,0,Brighton,48,33,3,4,6,1,1,9,7,0,0,2,0,0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,16,13,0,2,0,1,0,4,2,0,1,0,1,0,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Away,W,4,0,Watford,45,31,2,3,5,3,1,6,2,1,0,2,1,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,54,39,3,6,4,1,1,5,4,0,0,1,0,0,Match Report
40,,,,,,26-3-9,102,35,,1351,1030,72,99,75,53,22,170,121,6,15,14,12,2,
