,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,3,0,3,100.0,1,1.4,+1.4,0,0,0,0,1,3,33.3,31,7,6.5,20.0,5,20.0,25.4,8,1,12.5,1,14.5,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,2,2,0,0.0,0,0.3,-1.7,0,0,0,0,4,7,57.1,35,5,17.1,26.3,3,33.3,36.0,4,1,25.0,1,22.5,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,7,1,6,85.7,0,3.6,+2.6,0,0,0,0,3,3,100.0,21,10,14.3,23.6,3,0.0,16.3,12,3,25.0,2,13.3,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,1,5,20.0,30,9,13.3,28.0,2,50.0,49.0,8,0,0.0,1,11.3,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,3,3,0,0.0,0,1.1,-1.9,0,0,0,0,2,3,66.7,19,3,10.5,25.6,2,50.0,44.5,6,0,0.0,3,45.3,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,4,0,4,100.0,1,0.2,+0.2,0,0,0,0,1,2,50.0,28,6,3.6,23.6,1,100.0,71.0,4,0,0.0,1,15.0,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,7,1,6,85.7,0,2.6,+1.6,0,0,0,0,2,6,33.3,26,9,23.1,31.7,4,0.0,13.3,13,1,7.7,0,8.8,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,2,2,0,0.0,0,1.6,-0.4,0,0,0,0,3,3,100.0,21,2,14.3,28.7,2,0.0,22.5,5,0,0.0,2,23.3,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,5,8,62.5,20,1,25.0,26.9,5,60.0,48.0,7,1,14.3,0,13.0,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,5,0,5,100.0,1,1.6,+1.6,0,0,0,0,3,6,50.0,24,5,16.7,28.0,4,50.0,43.0,12,1,8.3,0,7.4,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,5,6,83.3,24,2,20.8,25.8,2,50.0,28.0,3,1,33.3,6,25.3,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,5,3,2,40.0,0,1.2,-1.8,0,0,0,0,6,10,60.0,29,2,31.0,28.6,6,16.7,22.2,15,0,0.0,0,,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,6,12,50.0,29,3,24.1,27.0,10,50.0,34.7,7,0,0.0,1,22.0,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,0,3,0.0,21,6,14.3,25.5,5,0.0,13.4,8,0,0.0,4,24.2,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Away,W,4,1,Burnley,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,2,10,20.0,28,6,21.4,27.1,5,80.0,56.8,8,0,0.0,0,,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,7,2,5,85.7,0,1.8,-0.2,1,1,0,0,0,1,0.0,12,4,8.3,21.0,4,0.0,12.0,8,0,0.0,1,22.5,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,0,3,0.0,25,6,4.0,22.3,4,50.0,34.5,13,1,7.7,3,17.4,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,1,4,25.0,32,6,12.5,23.6,8,0.0,19.6,8,0,0.0,1,32.0,Match Report
18,2019-12-27,19:45 (21:45),Matchweek 19,Fri,Away,L,2,3,Wolves,8,3,5,62.5,0,1.8,-1.2,0,0,0,0,5,19,26.3,25,9,40.0,35.0,11,81.8,51.5,24,1,4.2,1,16.5,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,0,0,0,,1,0.0,0.0,0,0,0,0,4,9,44.4,30,4,23.3,25.5,8,25.0,26.0,14,0,0.0,0,5.0,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,2,1,Everton,2,1,1,50.0,0,1.5,+0.5,0,0,0,0,3,6,50.0,25,3,12.0,23.1,4,75.0,53.5,10,0,0.0,1,15.5,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,1,1,0,100.0,0,1.0,0.0,1,1,0,0,1,1,100.0,17,4,5.9,20.7,4,0.0,16.5,7,0,0.0,0,13.0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,3,2,2,33.3,0,0.7,-0.3,0,0,0,0,1,3,33.3,15,6,13.3,22.8,5,20.0,27.0,4,0,0.0,1,26.0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,7,14.3,28,5,25.0,32.1,3,0.0,16.0,13,0,0.0,3,20.3,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,3,2,1,33.3,0,0.7,-1.3,0,0,0,0,2,3,66.7,18,5,16.7,24.8,1,0.0,17.0,6,0,0.0,3,24.8,Match Report
25,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Home,W,2,0,West Ham,0,0,0,,1,0.0,0.0,0,0,0,0,2,3,66.7,18,1,5.6,19.3,5,40.0,40.8,8,0,0.0,0,,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,2,7,28.6,32,6,21.9,31.6,4,0.0,18.5,8,0,0.0,1,9.3,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,6,2,4,66.7,0,1.4,-0.6,0,0,0,0,3,8,37.5,40,4,20.0,30.4,2,0.0,14.0,7,0,0.0,3,17.0,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,0,0,0,,1,0.0,0.0,0,0,0,0,5,9,55.6,40,4,17.5,23.4,5,40.0,37.4,6,0,0.0,3,21.8,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,0,0,0,,1,0.0,0.0,0,0,0,0,2,3,66.7,39,5,7.7,21.7,3,0.0,14.3,4,0,0.0,4,24.5,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,7,2,5,85.7,0,3.3,+1.3,1,1,0,0,0,4,0.0,31,5,12.9,27.2,4,0.0,17.3,7,1,14.3,0,6.0,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,5,15,33.3,46,10,26.1,29.2,6,50.0,41.2,15,0,0.0,6,24.5,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Away,L,0,1,Southampton,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,2,3,66.7,43,6,7.0,24.2,2,0.0,22.0,5,0,0.0,4,24.5,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,1,2,50.0,32,2,6.3,22.6,0,,,9,0,0.0,1,30.0,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Away,W,5,0,Brighton,0,0,0,,1,0.0,0.0,0,0,0,0,7,13,53.8,40,5,22.5,29.7,4,100.0,61.0,6,0,0.0,0,14.0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,1,14,7.1,34,10,29.4,31.7,10,40.0,35.8,14,3,21.4,2,15.4,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Away,W,4,0,Watford,0,0,0,,1,0.0,0.0,0,0,0,0,0,0,,14,2,0.0,18.9,7,0.0,22.7,4,0,0.0,2,22.0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,4,0,4,100.0,1,1.0,+1.0,0,0,0,0,0,3,0.0,25,7,12.0,24.2,4,0.0,21.5,3,0,0.0,2,18.0,Match Report
40,,,,,,26-3-9,102,35,,110,35,76,70.9,17,34.1,+0.1,3,3,0,0,92,227,40.5,1047,195,16.6,26.2,167,31.7,31.6,323,15,4.6,64,18.9,
