,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,57,680,60,210,313,168,26,679,13,18,72.2,9,13,487,36,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,55,775,41,119,382,280,47,775,9,17,52.9,9,9,567,48,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,74,870,66,205,475,194,34,870,7,9,77.8,17,6,674,46,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,53,721,67,195,337,198,32,721,6,12,50.0,11,12,551,35,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,68,837,26,74,378,396,48,837,20,29,69.0,10,7,614,30,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,68,864,41,166,470,240,45,863,18,22,81.8,4,8,685,42,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,63,781,59,190,403,194,29,781,10,17,58.8,12,12,580,42,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,75,868,37,121,424,333,40,868,10,19,52.6,14,9,662,46,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,71,833,40,172,390,279,46,833,16,22,72.7,13,7,624,39,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,63,763,65,160,291,315,66,763,15,18,83.3,11,7,553,38,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,75,834,22,96,284,462,78,834,24,34,70.6,19,10,602,54,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,55,671,79,204,262,211,43,671,19,23,82.6,17,9,443,34,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,47,686,65,182,351,158,27,686,10,16,62.5,14,9,501,36,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,75,923,37,118,473,340,43,923,10,15,66.7,13,13,704,58,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Away,W,4,1,Burnley,75,913,56,204,447,265,35,913,8,14,57.1,10,8,714,55,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,72,830,39,98,384,352,73,830,14,19,73.7,10,13,619,47,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,57,812,60,208,437,174,16,812,11,21,52.4,14,6,629,27,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,62,830,63,189,414,231,45,829,10,17,58.8,12,7,643,34,Match Report
18,2019-12-27,19:45 (21:45),Matchweek 19,Fri,Away,L,2,3,Wolves,38,496,90,217,219,67,9,496,9,17,52.9,7,5,296,16,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,72,993,62,241,504,252,24,993,6,13,46.2,13,9,810,32,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,2,1,Everton,65,912,43,218,521,176,21,912,10,15,66.7,11,9,716,39,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,70,997,57,191,562,248,43,997,19,25,76.0,14,9,829,47,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,72,861,32,118,364,383,64,861,15,21,71.4,20,12,633,59,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,66,758,61,228,362,175,31,757,10,15,66.7,8,8,552,29,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,67,832,33,126,467,245,50,831,10,22,45.5,12,9,634,49,Match Report
25,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Home,W,2,0,West Ham,77,1030,40,141,532,366,41,1030,18,24,75.0,9,9,838,49,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,67,815,60,208,372,246,29,814,12,14,85.7,13,12,625,37,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,72,899,78,244,440,223,12,899,18,26,69.2,14,11,702,27,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,67,797,45,160,418,227,30,796,13,20,65.0,10,8,657,40,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,71,915,47,221,503,194,28,914,9,16,56.3,9,4,759,47,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,65,832,50,188,411,238,24,832,10,15,66.7,17,8,665,42,Match Report
