,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,5,13,8,61.5,0.31,0.50,16.7,0,1,1,3.2,2.4,0.19,+1.8,+1.6,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,2,30,10,33.3,0.07,0.20,15.4,0,0,0,2.9,2.9,0.10,-0.9,-0.9,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,3,18,5,27.8,0.17,0.60,14.8,0,0,0,3.0,3.0,0.17,0.0,0.0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,4,15,6,40.0,0.27,0.67,15.4,1,0,0,1.9,1.9,0.13,+2.1,+2.1,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,2,25,8,32.0,0.08,0.25,15.1,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,8,27,10,37.0,0.26,0.70,14.9,2,1,1,5.9,5.1,0.19,+2.1,+1.9,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,3,19,8,42.1,0.16,0.38,14.7,1,0,0,2.8,2.8,0.15,+0.2,+0.2,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,0,18,2,11.1,0.00,0.00,18.7,2,0,0,1.4,1.4,0.08,-1.4,-1.4,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,2,21,10,47.6,0.10,0.20,13.4,0,0,0,3.5,3.5,0.17,-1.5,-1.5,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,3,26,9,34.6,0.12,0.33,15.1,0,0,0,2.9,2.9,0.11,+0.1,+0.1,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,2,26,4,15.4,0.08,0.50,15.6,1,0,0,2.9,2.9,0.11,-0.9,-0.9,Match Report
