,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-11,16:30 (17:30),Matchweek 1,Sun,Home,W,4,0,Chelsea,486,445,39,12,2,5,14,16,3,0,2,0,386,2,15,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Away,D,1,1,Wolves,711,666,44,16,0,9,17,17,6,5,0,0,606,1,11,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,2,Crystal Palace,613,562,51,14,2,3,27,21,8,5,2,1,512,0,10,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Away,D,1,1,Southampton,603,532,70,17,1,6,22,38,3,1,1,0,467,1,16,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,1,0,Leicester City,384,332,52,13,1,2,9,28,3,1,0,2,288,0,13,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,L,0,2,West Ham,526,474,51,10,0,5,20,21,7,3,1,2,425,1,10,Match Report
6,2019-09-30,20:00 (21:00),Matchweek 7,Mon,Home,D,1,1,Arsenal,490,434,54,14,1,4,19,22,8,2,1,3,381,2,12,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,653,596,55,12,0,7,25,27,6,3,2,1,549,2,8,Match Report
8,2019-10-20,16:30 (17:30),Matchweek 9,Sun,Home,D,1,1,Liverpool,358,294,60,14,0,8,15,33,3,2,1,0,231,4,11,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,W,3,1,Norwich City,522,472,50,11,0,3,19,22,10,4,6,0,428,0,11,Match Report
10,2019-11-02,12:30 (14:30),Matchweek 11,Sat,Away,L,0,1,Bournemouth,545,480,61,15,2,1,23,27,10,5,3,1,411,4,13,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,3,1,Brighton,393,349,44,16,3,2,17,15,5,3,2,0,304,0,11,Match Report
12,2019-11-24,16:30 (18:30),Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,632,575,56,16,0,9,11,26,3,2,0,0,508,1,6,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Home,D,2,2,Aston Villa,582,527,54,12,3,0,29,23,9,5,1,1,480,1,11,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Tottenham,486,438,47,8,2,2,10,28,4,2,2,0,362,1,8,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Away,W,2,1,Manchester City,292,250,42,9,0,0,9,14,3,0,1,0,211,0,9,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Home,D,1,1,Everton,595,534,59,13,5,3,31,30,6,2,4,0,490,2,6,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Away,L,0,2,Watford,602,550,48,19,7,2,14,17,5,2,1,0,497,4,8,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,851,812,38,6,2,6,16,18,5,0,3,0,755,1,8,Match Report
19,2019-12-28,19:45 (21:45),Matchweek 20,Sat,Away,W,2,0,Burnley,537,481,54,19,4,4,8,21,4,0,1,0,429,2,9,Match Report
20,2020-01-01,20:00 (22:00),Matchweek 21,Wed,Away,L,0,2,Arsenal,590,540,50,10,2,2,16,27,4,3,0,0,493,0,14,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,4,0,Norwich City,692,653,37,6,2,10,16,23,4,1,0,0,583,2,12,Match Report
22,2020-01-19,16:30 (18:30),Matchweek 23,Sun,Away,L,0,2,Liverpool,502,451,48,9,0,0,18,22,5,2,2,0,381,3,8,Match Report
23,2020-01-22,20:15 (22:15),Matchweek 24,Wed,Home,L,0,2,Burnley,759,705,52,8,0,5,24,34,5,1,1,0,632,2,13,Match Report
24,2020-02-01,17:30 (19:30),Matchweek 25,Sat,Home,D,0,0,Wolves,685,633,52,15,0,4,23,26,4,2,0,0,592,0,10,Match Report
25,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,For Manchester United,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-17,20:00 (22:00),Matchweek 26,Mon,Away,W,2,0,Chelsea,415,371,44,12,0,3,16,16,8,5,1,0,324,0,9,Match Report
