,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,11,19,57.9,17,1,70.6,45.5,8,87.5,60.5,6,1,16.7,1,17.6,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,8,3,5,62.5,0,2.2,-0.8,0,0,0,0,6,14,42.9,19,4,42.1,36.8,6,100.0,56.8,13,0,0.0,2,17.3,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,2,0,2,100.0,1,0.9,+0.9,0,0,0,0,6,21,28.6,15,1,93.3,53.9,7,100.0,64.3,28,1,3.6,0,5.7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,3,1,2,66.7,0,1.4,+0.4,0,0,0,0,1,14,7.1,8,2,50.0,33.4,12,83.3,57.9,11,0,0.0,1,11.0,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,8,3,5,62.5,0,3.5,+0.5,0,0,0,0,5,22,22.7,15,3,73.3,45.3,13,84.6,57.8,29,0,0.0,0,10.0,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,2,0,2,100.0,1,0.3,+0.3,0,0,0,0,4,19,21.1,19,3,57.9,45.2,10,80.0,51.5,14,1,7.1,0,8.5,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,5,5,1,0.0,0,1.8,-2.2,0,0,0,0,9,13,69.2,16,4,50.0,38.5,8,62.5,49.1,22,0,0.0,1,15.0,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,10,21,47.6,17,2,70.6,41.0,10,90.0,58.5,20,2,10.0,0,6.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,7,1,6,85.7,0,1.6,+0.6,0,0,0,0,11,22,50.0,17,3,64.7,44.9,11,100.0,62.6,25,1,4.0,0,5.3,Match Report
