,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Home,L,0,1,Arsenal,38,549,47,179,257,122,12,549,11,18,61.1,21,4,305,26,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,1,3,Norwich City,37,476,47,159,227,94,17,476,7,13,53.8,18,8,293,19,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Away,W,1,0,Tottenham,21,363,86,185,113,71,12,363,3,9,33.3,22,4,158,6,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,D,1,1,Watford,49,610,51,152,334,136,23,610,13,19,68.4,14,8,378,23,Match Report
4,2019-09-14,12:30 (13:30),Matchweek 5,Sat,Away,L,1,3,Liverpool,26,444,84,222,172,58,8,444,9,17,52.9,15,5,216,11,Match Report
5,2019-09-21,17:30 (18:30),Matchweek 6,Sat,Home,D,0,0,Brighton,29,429,61,155,188,96,19,429,11,17,64.7,12,8,216,11,Match Report
6,2019-09-29,16:30 (17:30),Matchweek 7,Sun,Away,L,0,5,Leicester City,32,475,54,201,214,64,3,475,9,16,56.3,24,17,272,10,Match Report
7,2019-10-06,16:30 (17:30),Matchweek 8,Sun,Home,W,1,0,Manchester Utd,32,422,54,169,193,68,13,422,11,17,64.7,20,5,215,16,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,L,0,1,Chelsea,29,405,69,161,157,94,6,405,7,20,35.0,18,10,187,9,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Home,D,1,1,Wolves,44,549,63,168,283,104,21,549,13,20,65.0,13,11,337,16,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,W,3,2,West Ham,30,411,81,171,147,102,18,411,16,24,66.7,12,5,182,14,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,W,2,1,Bournemouth,35,451,64,169,174,115,20,451,9,15,60.0,13,8,217,12,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Away,L,0,2,Aston Villa,39,467,77,175,170,129,13,467,13,21,61.9,14,7,260,11,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Home,D,2,2,Manchester City,25,419,103,224,142,58,3,419,15,19,78.9,11,8,164,14,Match Report
14,2019-12-05,19:30 (21:30),Matchweek 15,Thu,Away,W,2,0,Sheffield Utd,27,415,85,204,135,84,12,415,7,14,50.0,15,11,181,10,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,W,2,1,Southampton,46,528,73,185,223,127,17,528,21,37,56.8,18,8,255,12,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,1,Burnley,52,536,43,169,244,132,9,536,11,17,64.7,17,8,310,13,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,W,1,0,Crystal Palace,43,522,53,186,233,105,16,522,8,19,42.1,10,7,301,28,Match Report
18,2019-12-26,17:30 (19:30),Matchweek 19,Thu,Away,L,1,4,Manchester Utd,28,441,70,206,168,73,9,441,10,17,58.8,13,10,230,16,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,L,1,2,Everton,43,503,60,179,199,130,30,503,14,24,58.3,13,5,258,27,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,L,0,3,Leicester City,24,398,69,178,163,62,8,398,8,20,40.0,24,5,180,14,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,D,1,1,Wolves,35,462,64,162,195,113,4,462,11,22,50.0,13,5,244,11,Match Report
22,2020-01-18,17:30 (19:30),Matchweek 23,Sat,Home,W,1,0,Chelsea,31,468,81,199,190,84,10,468,9,18,50.0,25,6,214,8,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,D,2,2,Everton,45,618,67,226,291,108,15,618,8,12,66.7,23,11,386,14,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,0,0,Norwich City,44,554,73,190,238,134,20,554,9,14,64.3,14,5,307,16,Match Report
25,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,For Newcastle United,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
