,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,For Norwich City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-09,20:00 (21:00),Matchweek 1,Fri,Away,L,1,4,Liverpool,2,0,0,9,9,5,2,11,8,0,0,1,37,7,15,31.8,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,1,0,0,9,11,2,15,5,11,0,0,0,52,13,8,61.9,Match Report
2,2019-08-24,12:30 (13:30),Matchweek 3,Sat,Home,L,2,3,Chelsea,1,0,0,9,7,0,7,11,7,0,0,0,59,11,17,39.3,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,2,West Ham,1,0,0,10,15,3,14,7,10,0,0,0,53,8,16,33.3,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Home,W,3,2,Manchester City,3,0,0,8,7,1,6,16,12,0,0,0,42,11,19,36.7,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,2,Burnley,1,0,0,10,11,0,10,5,12,0,0,0,56,13,13,50.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Crystal Palace,1,0,0,10,14,1,13,13,5,0,1,0,53,11,15,42.3,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,L,1,5,Aston Villa,1,0,0,14,17,0,20,7,14,0,1,0,49,10,14,41.7,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,0,0,Bournemouth,3,0,0,11,8,2,14,9,9,0,0,0,53,24,18,57.1,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Home,L,1,3,Manchester Utd,2,0,0,13,10,1,6,8,14,0,2,0,62,4,6,40.0,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,0,2,Brighton,1,0,0,8,11,1,4,13,10,0,0,0,52,6,14,30.0,Match Report
11,2019-11-08,20:00 (22:00),Matchweek 12,Fri,Home,L,0,2,Watford,1,0,0,7,13,1,28,7,11,0,0,0,64,8,10,44.4,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,0,Everton,5,0,0,11,11,0,15,9,13,0,0,0,45,22,23,48.9,Match Report
13,2019-12-01,14:00 (16:00),Matchweek 14,Sun,Home,D,2,2,Arsenal,2,0,0,8,10,1,16,10,7,0,1,0,52,11,15,42.3,Match Report
