,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Away,L,0,3,Burnley,0,11,3,27.3,0.00,0.00,18.7,1,0,0,1.2,1.2,0.11,-1.2,-1.2,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Liverpool,1,14,3,21.4,0.07,0.33,15.3,0,0,0,1.9,1.9,0.14,-0.9,-0.9,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,0,Brighton,2,12,4,33.3,0.17,0.50,18.0,2,0,0,1.7,1.7,0.18,+0.3,+0.3,Match Report
3,2019-08-31,12:30 (13:30),Matchweek 4,Sat,Home,D,1,1,Manchester Utd,1,10,2,20.0,0.10,0.50,20.7,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1,11,7,63.6,0.09,0.14,16.7,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Match Report
5,2019-09-20,20:00 (21:00),Matchweek 6,Fri,Home,L,1,3,Bournemouth,1,24,5,20.8,0.00,0.00,19.4,0,1,1,2.5,1.7,0.07,-1.5,-1.7,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,1,2,Tottenham,1,14,6,42.9,0.07,0.17,19.9,1,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,1,4,Chelsea,1,10,2,20.0,0.10,0.50,17.3,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Wolves,1,14,5,35.7,0.07,0.20,14.4,1,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
9,2019-10-25,20:00 (21:00),Matchweek 10,Fri,Home,L,0,9,Leicester City,0,6,3,50.0,0.00,0.00,22.4,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,L,1,2,Manchester City,1,3,3,100.0,0.33,0.33,18.8,0,0,0,0.9,0.9,0.31,+0.1,+0.1,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,L,1,2,Everton,1,4,3,75.0,0.25,0.33,20.1,1,0,0,0.9,0.9,0.22,+0.1,+0.1,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,D,2,2,Arsenal,2,20,4,20.0,0.10,0.50,22.0,0,0,1,2.4,1.5,0.08,-0.4,+0.5,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Home,W,2,1,Watford,2,11,5,45.5,0.18,0.40,16.6,2,0,0,2.1,2.1,0.19,-0.1,-0.1,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Home,W,2,1,Norwich City,2,14,5,35.7,0.14,0.40,16.7,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,1,19,4,21.1,0.05,0.25,16.0,2,0,0,1.7,1.7,0.10,-0.7,-0.7,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Home,L,0,1,West Ham,0,11,2,18.2,0.00,0.00,17.1,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,W,3,1,Aston Villa,3,17,8,47.1,0.18,0.38,14.9,2,0,0,2.8,2.8,0.17,+0.2,+0.2,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,W,2,0,Chelsea,2,5,3,60.0,0.40,0.67,15.5,0,0,0,1.1,1.1,0.22,+0.9,+0.9,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,D,1,1,Crystal Palace,1,14,5,35.7,0.07,0.20,15.8,1,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,W,1,0,Tottenham,1,12,3,25.0,0.08,0.33,15.3,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Away,W,2,1,Leicester City,2,16,9,56.3,0.13,0.22,16.2,1,0,0,2.1,2.1,0.14,-0.1,-0.1,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,L,2,3,Wolves,2,11,5,45.5,0.18,0.40,13.7,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,2,15,6,40.0,0.13,0.33,21.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,0,17,4,23.5,0.00,0.00,18.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Match Report
25,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,For Southampton,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,1,10,2,20.0,0.10,0.50,15.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,2,28,9,32.1,0.07,0.22,18.9,1,0,0,2.6,2.6,0.10,-0.6,-0.6,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,1,10,2,20.0,0.10,0.50,17.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,0,6,3,50.0,0.00,0.00,15.8,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Match Report
31,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,3,22,8,36.4,0.14,0.38,18.9,2,0,0,1.7,1.7,0.08,+1.3,+1.3,Match Report
