,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Home,W,3,1,Aston Villa,2.4,0.7,70,60407,Hugo Lloris,4-3-1-2,Chris Kavanagh,Match Report,
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Away,D,2,2,Manchester City,0.1,2.9,45,54503,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,L,0,1,Newcastle Utd,1.1,0.8,79,59245,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
3,2019-09-01,16:30 (17:30),Matchweek 4,Sun,Away,D,2,2,Arsenal,2.0,2.4,45,60333,Hugo Lloris,4-2-2-2,Martin Atkinson,Match Report,
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,W,4,0,Crystal Palace,1.0,0.6,64,59812,Hugo Lloris,4-2-2-2,Craig Pawson,Match Report,
5,2019-09-21,12:30 (13:30),Matchweek 6,Sat,Away,L,1,2,Leicester City,1.1,1.3,56,32129,Harry Kane,4-1-2-1-2◆,Paul Tierney,Match Report,
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,1,Southampton,1.0,1.5,42,59645,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,
7,2019-10-05,12:30 (13:30),Matchweek 8,Sat,Away,L,0,3,Brighton,0.4,2.4,52,30610,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Watford,1.0,0.7,69,58754,Harry Kane,3-4-3,Chris Kavanagh,Match Report,
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,L,1,2,Liverpool,1.2,2.6,33,53222,Harry Kane,4-3-3,Anthony Taylor,Match Report,
10,2019-11-03,16:30 (18:30),Matchweek 11,Sun,Away,D,1,1,Everton,0.6,1.1,53,39001,Ben Davies,4-2-3-1,Martin Atkinson,Match Report,
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Home,D,1,1,Sheffield Utd,1.8,0.9,61,59781,Harry Kane,4-2-3-1,Graham Scott,Match Report,
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Away,W,3,2,West Ham,2.1,0.7,52,59930,Harry Kane,4-2-3-1,Michael Oliver,Match Report,
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Home,W,3,2,Bournemouth,2.3,1.1,52,59626,Harry Kane,4-2-3-1,Lee Mason,Match Report,
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Manchester Utd,0.9,1.4,53,73252,Harry Kane,4-2-3-1,Paul Tierney,Match Report,
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,W,5,0,Burnley,2.6,0.9,49,58401,Harry Kane,4-2-3-1,Kevin Friend,Match Report,
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,W,2,1,Wolves,0.9,0.9,42,31674,Harry Kane,4-2-3-1,Stuart Attwell,Match Report,
17,2019-12-22,16:30 (18:30),Matchweek 18,Sun,Home,L,0,2,Chelsea,0.3,1.3,45,61104,Harry Kane,4-3-3,Anthony Taylor,Match Report,
18,2019-12-26,12:30 (14:30),Matchweek 19,Thu,Home,W,2,1,Brighton,0.8,1.0,54,56308,Harry Kane,3-4-3,Graham Scott,Match Report,
19,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Away,D,2,2,Norwich City,1.9,0.2,58,27072,Harry Kane,3-1-4-2,Kevin Friend,Match Report,
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Away,L,0,1,Southampton,0.9,1.3,59,30976,Harry Kane,4-2-3-1,Mike Dean,Match Report,
21,2020-01-11,17:30 (19:30),Matchweek 22,Sat,Home,L,0,1,Liverpool,1.2,1.2,33,61023,Toby Alderweireld,4-4-2,Martin Atkinson,Match Report,
22,2020-01-18,12:30 (14:30),Matchweek 23,Sat,Away,D,0,0,Watford,1.9,2.5,58,21366,Jan Vertonghen,4-3-3,Michael Oliver,Match Report,
23,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Home,W,2,1,Norwich City,2.1,1.5,51,58182,Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Home,W,2,0,Manchester City,0.3,2.4,33,61022,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
25,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Away,W,3,2,Aston Villa,3.4,1.8,45,41874,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
