,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,L,0,3,Brighton,19,12,2,1,1,2,1,0,0,0,0,0,0,0,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,0,1,Everton,15,12,2,0,1,0,0,0,0,0,0,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,3,West Ham,45,35,4,1,2,2,1,2,2,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,1,1,Newcastle Utd,18,12,2,0,4,0,0,1,0,0,0,1,0,0,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Home,D,2,2,Arsenal,52,39,2,3,5,2,1,3,2,0,0,0,1,0,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,8,Manchester City,10,5,2,1,0,1,1,1,0,0,0,0,0,1,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Wolves,24,19,2,1,2,0,0,0,0,0,0,0,0,0,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,D,0,0,Sheffield Utd,17,12,1,1,0,2,1,0,0,0,0,0,0,0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Tottenham,14,8,0,3,0,2,1,2,2,0,0,0,0,0,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,0,0,Bournemouth,11,6,0,3,1,0,1,0,0,0,0,0,0,0,Match Report
10,2019-11-02,17:30 (19:30),Matchweek 11,Sat,Home,L,1,2,Chelsea,22,15,3,0,0,2,2,2,0,0,0,0,1,1,Match Report
11,2019-11-08,20:00 (22:00),Matchweek 12,Fri,Away,W,2,0,Norwich City,21,11,2,4,0,0,4,4,1,0,2,0,0,1,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,3,Burnley,27,16,2,2,0,5,2,0,0,0,0,0,0,0,Match Report
13,2019-11-30,17:30 (19:30),Matchweek 14,Sat,Away,L,1,2,Southampton,9,5,3,0,0,1,0,1,0,1,0,0,0,0,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Leicester City,8,8,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Home,D,0,0,Crystal Palace,22,17,2,0,0,3,0,0,0,0,0,0,0,0,Match Report
16,2019-12-14,12:30 (14:30),Matchweek 17,Sat,Away,L,0,2,Liverpool,14,11,0,1,1,1,0,0,0,0,0,0,0,0,Match Report
17,2019-12-22,14:00 (16:00),Matchweek 18,Sun,Home,W,2,0,Manchester Utd,17,10,1,3,1,2,0,4,2,1,0,0,1,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,D,1,1,Sheffield Utd,9,6,0,1,0,2,0,2,2,0,0,0,0,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Home,W,3,0,Aston Villa,32,20,3,1,4,3,1,5,3,0,0,1,1,0,Match Report
20,2020-01-01,15:00 (17:00),Matchweek 21,Wed,Home,W,2,1,Wolves,15,12,1,2,0,0,0,3,3,0,0,0,0,0,Match Report
21,2020-01-12,14:00 (16:00),Matchweek 22,Sun,Away,W,3,0,Bournemouth,32,26,1,1,4,0,0,3,2,0,0,1,0,0,Match Report
22,2020-01-18,12:30 (14:30),Matchweek 23,Sat,Home,D,0,0,Tottenham,27,19,0,2,2,2,2,0,0,0,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,L,1,2,Aston Villa,14,10,0,0,1,0,3,2,2,0,0,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,2,3,Everton,17,10,2,2,0,3,0,3,3,0,0,0,0,0,Match Report
25,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-08,17:30 (19:30),Matchweek 26,Sat,Away,D,1,1,Brighton,9,5,2,1,0,0,1,2,1,0,0,0,0,1,Match Report
28,2020-02-23,14:00 (16:00),Matchweek 27,Sun,Away,L,0,3,Manchester Utd,13,7,2,0,1,1,2,0,0,0,0,0,0,0,Match Report
29,2020-02-29,17:30 (19:30),Matchweek 28,Sat,Home,W,3,0,Liverpool,22,18,1,1,1,1,0,4,3,1,0,0,0,0,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Crystal Palace,17,14,0,1,1,1,0,0,0,0,0,0,0,0,Match Report
31,2020-06-20,12:30 (13:30),Matchweek 30,Sat,Home,D,1,1,Leicester City,13,7,2,1,0,2,1,1,1,0,0,0,0,0,Match Report
32,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Away,L,0,1,Burnley,14,6,5,0,1,2,0,0,0,0,0,0,0,0,Match Report
33,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Home,L,1,3,Southampton,9,6,1,0,1,1,0,0,0,0,0,0,0,0,Match Report
34,2020-07-04,20:00 (21:00),Matchweek 33,Sat,Away,L,0,3,Chelsea,11,6,1,0,0,3,1,0,0,0,0,0,0,0,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,W,2,1,Norwich City,15,10,4,0,0,1,0,4,2,1,0,0,1,0,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Home,W,2,1,Newcastle Utd,28,11,5,4,3,5,0,4,0,1,1,0,2,0,Match Report
37,2020-07-17,20:00 (21:00),Matchweek 36,Fri,Away,L,1,3,West Ham,22,17,1,1,3,0,0,1,0,0,0,1,0,0,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Home,L,0,4,Manchester City,3,2,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,2,3,Arsenal,36,25,5,1,2,3,0,4,3,0,0,0,1,0,Match Report
40,,,,,,8-10-20,36,64,,723,490,66,43,42,56,26,58,34,5,3,4,8,4,
