,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,L,0,3,Brighton,349,456,76.5,5654,2213,179,208,86.1,112,145,77.2,38,65,58.5,0,0.4,1.0,5,29,9,3,33,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,0,1,Everton,318,449,70.8,5757,2308,150,185,81.1,109,139,78.4,43,90,47.8,0,0.9,1.0,6,28,10,4,29,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,3,West Ham,419,516,81.2,7097,2808,186,210,88.6,176,205,85.9,38,67,56.7,1,2.3,1.7,22,37,21,3,50,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,1,1,Newcastle Utd,409,535,76.4,6691,2375,202,231,87.4,153,178,86.0,37,89,41.6,0,0.4,0.7,8,21,7,1,35,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Home,D,2,2,Arsenal,462,537,86.0,7176,2256,254,275,92.4,146,170,85.9,37,55,67.3,1,1.6,1.4,23,31,10,3,27,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,8,Manchester City,283,362,78.2,4697,1409,141,152,92.8,112,123,91.1,24,67,35.8,0,0.4,0.1,4,9,5,0,12,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Wolves,564,683,82.6,8946,2633,293,318,92.1,219,247,88.7,36,81,44.4,0,0.6,0.7,11,38,11,2,35,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,D,0,0,Sheffield Utd,271,402,67.4,4260,1689,150,176,85.2,84,122,68.9,21,73,28.8,0,1.4,0.9,7,20,2,2,14,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Tottenham,222,337,65.9,3444,1370,117,144,81.3,65,89,73.0,22,74,29.7,1,0.5,0.2,4,14,2,1,18,Match Report
