,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,For Watford,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,L,0,3,Brighton,0,11,3,27.3,0.00,0.00,21.4,2,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,L,0,1,Everton,0,8,2,25.0,0.00,0.00,17.1,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Home,L,1,3,West Ham,1,23,3,13.0,0.04,0.33,15.4,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,D,1,1,Newcastle Utd,1,13,3,23.1,0.08,0.33,17.2,0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report
4,2019-09-15,16:30 (17:30),Matchweek 5,Sun,Home,D,2,2,Arsenal,2,30,9,30.0,0.03,0.11,19.5,1,1,1,2.7,1.9,0.07,-0.7,-0.9,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Away,L,0,8,Manchester City,0,5,4,80.0,0.00,0.00,14.9,1,0,0,0.4,0.4,0.08,-0.4,-0.4,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,L,0,2,Wolves,0,14,5,35.7,0.00,0.00,16.4,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Home,D,0,0,Sheffield Utd,0,8,2,25.0,0.00,0.00,17.4,0,0,0,1.4,1.4,0.18,-1.4,-1.4,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Away,D,1,1,Tottenham,1,7,2,28.6,0.14,0.50,19.1,2,0,0,0.7,0.7,0.10,+0.3,+0.3,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,0,0,Bournemouth,0,7,3,42.9,0.00,0.00,19.4,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Match Report
