,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,0,5,3,60.0,0.00,0.00,12.7,1,0,0,1.1,1.1,0.23,-1.1,-1.1,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,1,8,3,37.5,0.13,0.33,19.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,3,15,9,60.0,0.13,0.22,14.0,0,1,1,3.5,2.7,0.21,-0.5,-0.7,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,2,18,7,38.9,0.11,0.29,14.9,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,0,13,1,7.7,0.00,0.00,22.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,2,8,6,75.0,0.25,0.33,20.7,2,0,0,0.4,0.4,0.05,+1.6,+1.6,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,2,17,6,35.3,0.12,0.33,16.6,1,0,0,1.6,1.6,0.09,+0.4,+0.4,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,1,9,4,44.4,0.11,0.25,12.0,0,0,0,1.4,1.4,0.15,-0.4,-0.4,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,0,8,4,50.0,0.00,0.00,18.4,2,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,1,12,4,33.3,0.08,0.25,15.4,0,0,0,2.3,2.3,0.22,-1.3,-1.3,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,2,16,6,37.5,0.13,0.33,14.4,0,0,0,1.8,1.8,0.12,+0.2,+0.2,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,0,7,4,57.1,0.00,0.00,18.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,2,11,4,36.4,0.18,0.50,17.2,1,0,0,0.7,0.7,0.06,+1.3,+1.3,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,1,5,4,80.0,0.20,0.25,9.4,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,0,6,3,50.0,0.00,0.00,18.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,1,11,4,36.4,0.09,0.25,18.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,1,11,4,36.4,0.09,0.25,13.6,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,1,10,2,20.0,0.10,0.50,16.8,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,1,14,4,28.6,0.07,0.25,14.2,0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,4,13,6,46.2,0.23,0.50,18.0,1,1,1,2.4,1.6,0.12,+1.6,+1.4,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,0,7,2,28.6,0.00,0.00,15.6,1,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report
21,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Everton,1,12,5,41.7,0.08,0.20,14.0,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report
22,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Away,L,1,4,Leicester City,1,5,1,20.0,0.00,0.00,12.6,0,1,1,1.6,0.8,0.17,-0.6,-0.8,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Home,L,0,2,Liverpool,0,7,4,57.1,0.00,0.00,16.8,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,3,3,Brighton,3,12,6,50.0,0.25,0.50,17.1,0,0,0,0.8,0.8,0.07,+2.2,+2.2,Match Report
25,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Away,L,0,2,Manchester City,0,3,0,0.0,0.00,,24.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Away,L,2,3,Liverpool,2,7,4,57.1,0.29,0.50,14.4,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,W,3,1,Southampton,3,14,7,50.0,0.21,0.43,15.2,0,0,0,2.3,2.3,0.17,+0.7,+0.7,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Arsenal,0,14,6,42.9,0.00,0.00,17.8,1,0,0,1.5,1.5,0.11,-1.5,-1.5,Match Report
31,2020-06-20,17:30 (18:30),Matchweek 30,Sat,Home,L,0,2,Wolves,0,7,2,28.6,0.00,0.00,21.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
32,2020-06-23,20:15 (21:15),Matchweek 31,Tue,Away,L,0,2,Tottenham,0,10,2,20.0,0.00,0.00,16.4,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Home,W,3,2,Chelsea,3,10,4,40.0,0.30,0.75,13.8,0,0,0,2.2,2.2,0.22,+0.8,+0.8,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Away,D,2,2,Newcastle Utd,2,17,7,41.2,0.12,0.29,14.0,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,L,0,1,Burnley,0,21,4,19.0,0.00,0.00,17.2,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,W,4,0,Norwich City,4,19,7,36.8,0.21,0.57,12.3,0,0,0,3.5,3.5,0.20,+0.5,+0.5,Match Report
37,2020-07-17,20:00 (21:00),Matchweek 36,Fri,Home,W,3,1,Watford,3,10,4,40.0,0.30,0.75,20.3,1,0,0,0.9,0.9,0.09,+2.1,+2.1,Match Report
38,2020-07-22,18:00 (19:00),Matchweek 37,Wed,Away,D,1,1,Manchester Utd,1,11,2,18.2,0.00,0.00,20.3,0,1,1,1.5,0.7,0.07,-0.5,-0.7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Aston Villa,1,10,1,10.0,0.10,1.00,22.6,2,0,0,0.9,0.9,0.09,+0.1,+0.1,Match Report
40,,,,,,10-9-19,49,62,,49,413,156,37.8,0.11,0.29,16.4,13,4,4,48.6,45.4,0.11,+0.4,-0.4,
