,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 24_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
0,2019-08-11,14:00 (15:00),Matchweek 1,Sun,Away,D,0,0,Leicester City,0,8,2,25.0,0.00,0.00,16.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report
1,2019-08-19,20:00 (21:00),Matchweek 2,Mon,Home,D,1,1,Manchester Utd,1,6,2,33.3,0.17,0.50,16.3,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Match Report
2,2019-08-25,16:30 (17:30),Matchweek 3,Sun,Home,D,1,1,Burnley,1,16,1,6.3,0.00,0.00,22.5,0,1,1,1.5,0.8,0.05,-0.5,-0.8,Match Report
3,2019-09-01,14:00 (15:00),Matchweek 4,Sun,Away,L,2,3,Everton,2,8,5,62.5,0.25,0.40,14.1,0,0,0,2.0,2.0,0.25,0.0,0.0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Home,L,2,5,Chelsea,1,11,4,36.4,0.09,0.25,13.4,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Away,D,1,1,Crystal Palace,1,13,4,30.8,0.08,0.25,17.3,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Watford,1,6,2,33.3,0.17,0.50,10.0,0,0,0,1.4,1.4,0.23,-0.4,-0.4,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Away,W,2,0,Manchester City,2,7,2,28.6,0.29,1.00,17.5,0,0,0,1.0,1.0,0.14,+1.0,+1.0,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,D,1,1,Southampton,1,3,0,0.0,0.00,,25.9,0,1,1,0.9,0.1,0.05,+0.1,-0.1,Match Report
9,2019-10-27,14:00 (16:00),Matchweek 10,Sun,Away,D,1,1,Newcastle Utd,1,13,5,38.5,0.08,0.20,16.8,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Away,D,1,1,Arsenal,1,24,8,33.3,0.04,0.13,19.5,1,0,0,1.8,1.8,0.07,-0.8,-0.8,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Home,W,2,1,Aston Villa,2,17,5,29.4,0.12,0.40,16.3,0,0,0,2.4,2.4,0.14,-0.4,-0.4,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Away,W,2,1,Bournemouth,2,18,7,38.9,0.11,0.29,22.9,1,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
