,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20,Matches
1,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,Matches
2,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,Matches
3,4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10,Matches
4,5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1,Matches
5,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,Matches
6,7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,15,13,2,0,0,0,0,0,0,0,0,0,12,0,0,Matches
7,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,Matches
8,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,499,464,35,2,3,5,69,23,10,1,6,1,339,0,14,Matches
9,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2009,1915,82,72,12,20,9,10,0,0,0,0,1630,12,10,Matches
10,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,Matches
11,12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,Matches
12,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,841,760,75,14,4,3,7,18,4,0,0,0,632,6,34,Matches
13,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,884,868,12,1,2,4,41,10,0,0,0,0,681,4,35,Matches
14,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,1136,966,168,7,1,3,66,160,1,1,0,0,916,2,24,Matches
15,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,661,605,55,6,1,2,8,49,0,0,0,0,556,1,15,Matches
16,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,374,364,9,6,0,0,1,3,0,0,0,0,324,1,3,Matches
17,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30,Matches
18,19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,12,11,1,0,0,0,0,0,1,0,0,0,7,0,1,Matches
19,20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,429,377,50,4,0,1,43,46,0,0,0,0,333,2,8,Matches
20,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
21,22,Michail Antonio,jm JAM,"FW,MF",West Ham,29,1990,19.6,524,480,39,1,5,2,48,25,0,0,0,0,329,5,23,Matches
22,23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,616,594,21,0,2,0,23,13,0,0,0,0,464,1,30,Matches
23,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,1095,839,251,52,0,2,0,1,0,0,0,0,896,5,1,Matches
24,25,Christian Atsu,gh GHA,MF,Newcastle Utd,27,1992,8.3,218,206,10,2,1,0,17,1,6,0,3,0,167,2,7,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,26,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,30,1989,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,Matches
27,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1676,1409,264,9,0,3,137,255,0,0,0,0,1263,3,51,Matches
28,28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35.0,853,816,34,4,2,2,25,11,1,0,0,0,673,3,24,Matches
29,29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2943,2527,407,29,0,12,121,378,0,0,0,0,2317,9,50,Matches
30,30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,78,76,2,2,0,0,0,0,0,0,0,0,70,0,0,Matches
31,31,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,218,165,51,6,0,0,27,34,11,9,2,0,176,2,6,Matches
32,32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,512,489,20,15,1,7,1,5,0,0,0,0,365,3,7,Matches
33,33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38.0,1522,1241,276,5,0,1,128,271,0,0,0,0,1143,5,70,Matches
34,34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21.0,921,673,240,18,3,7,33,222,0,0,0,0,604,8,17,Matches
35,35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,635,619,14,8,6,9,12,3,3,1,0,0,555,2,8,Matches
36,36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,15.0,259,255,2,0,3,0,5,1,0,0,0,0,138,2,14,Matches
37,37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,745,740,1,0,5,3,41,1,0,0,0,0,562,4,17,Matches
38,38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,1546,1349,190,18,0,10,51,172,0,0,0,0,1091,7,25,Matches
39,39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
40,40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,78,69,9,0,0,0,0,0,0,0,0,0,64,0,2,Matches
41,41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,1595,1509,82,29,0,7,1,53,0,0,0,0,1183,4,14,Matches
42,42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,12.9,711,583,126,14,0,3,27,112,0,0,0,0,575,2,30,Matches
43,43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,245,232,13,0,0,2,4,13,0,0,0,0,182,0,1,Matches
44,44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,227,206,21,1,0,3,2,20,0,0,0,0,179,0,3,Matches
45,45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,409,397,11,10,0,4,2,0,0,0,0,0,348,1,8,Matches
46,46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,342,330,12,0,2,2,5,0,0,0,0,0,184,0,4,Matches
47,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,196,187,9,0,0,2,35,1,8,8,0,0,134,0,3,Matches
48,48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,392,384,8,6,0,3,22,2,0,0,0,0,298,0,7,Matches
49,49,Steven Bergwijn,nl NED,"MF,FW",Tottenham,21,1997,7.8,256,246,10,3,2,0,10,2,3,2,0,0,216,0,4,Matches
50,50,Bernard,br BRA,MF,Everton,26,1992,14.2,578,561,17,1,5,3,36,2,6,4,1,0,423,0,24,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
52,51,Bernardo,br BRA,"DF,MF",Brighton,24,1995,7.5,395,346,49,1,0,0,17,48,0,0,0,0,286,0,10,Matches
53,52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1702,1278,417,48,2,9,122,344,25,10,10,3,1250,7,50,Matches
54,53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,2.8,107,105,2,2,0,1,1,0,0,0,0,0,84,0,4,Matches
55,54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1216,1149,62,19,1,10,14,43,0,0,0,0,879,5,22,Matches
56,55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14.0,629,615,12,10,3,7,6,2,0,0,0,0,529,2,10,Matches
57,56,Willy Boly,ci CIV,DF,Wolves,28,1991,22.0,991,975,13,11,0,4,2,2,0,0,0,0,798,3,12,Matches
58,57,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,0.7,35,32,3,1,0,0,6,2,0,0,0,0,25,0,1,Matches
59,58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,321,311,10,1,1,1,27,6,1,0,0,0,232,0,7,Matches
60,59,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,10.2,273,243,30,3,0,6,60,0,26,20,1,1,179,0,12,Matches
61,60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5.0,169,159,9,3,2,0,14,3,3,3,0,0,100,1,4,Matches
62,61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,223,213,10,5,0,1,0,0,0,0,0,0,196,0,0,Matches
63,62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,136,100,36,8,0,1,0,0,0,0,0,0,107,0,0,Matches
64,63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
65,64,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,5.6,180,160,19,3,0,1,24,2,7,4,2,0,121,1,8,Matches
66,65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,338,331,4,2,0,1,2,2,0,0,0,0,275,3,0,Matches
67,66,Emi Buendía,ar ARG,MF,Norwich City,22,1996,27.4,1604,1393,202,69,17,17,164,24,109,56,50,1,1188,9,37,Matches
68,67,Dan Burn,eng ENG,DF,Brighton,27,1992,32.0,1884,1609,271,11,3,4,51,260,0,0,0,0,1392,4,46,Matches
69,68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,771,632,137,11,0,0,7,126,0,0,0,0,609,2,15,Matches
70,69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,164,133,31,3,0,0,0,0,0,0,0,0,124,0,0,Matches
71,70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,1009,967,42,37,0,9,0,5,0,0,0,0,857,0,6,Matches
72,71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,577,570,3,2,2,3,19,1,0,0,0,0,359,4,23,Matches
73,72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
74,73,João Cancelo,pt POR,DF,Manchester City,25,1994,13.4,1157,1049,104,8,0,5,47,96,0,0,0,0,1015,4,15,Matches
75,74,Todd Cantwell,eng ENG,MF,Norwich City,21,1998,27.7,1110,1066,38,13,3,12,24,15,4,0,1,0,886,6,27,Matches
76,75,Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,1465,1356,106,42,3,44,23,5,6,6,0,0,1180,3,16,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
78,76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,214,209,4,0,0,3,5,0,0,0,0,0,129,1,4,Matches
79,77,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,32.1,1451,1139,309,2,1,3,54,307,0,0,0,0,1177,3,34,Matches
80,78,Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,922,899,20,16,1,7,1,4,0,0,0,0,742,3,4,Matches
81,79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1329,1220,106,38,6,20,70,5,63,23,12,2,1114,3,20,Matches
82,80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,370,347,22,7,0,2,21,2,13,5,2,2,261,1,17,Matches
83,81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,915,818,95,12,0,6,34,83,0,0,0,0,732,2,16,Matches
84,82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,2021,1715,302,34,3,12,103,260,8,1,3,0,1544,4,45,Matches
85,83,Tahith Chong,nl NED,"MF,DF",Manchester Utd,19,1999,0.4,14,14,0,0,0,0,0,0,0,0,0,0,9,0,1,Matches
86,84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,501,490,11,9,0,3,4,1,0,0,0,0,428,0,10,Matches
87,85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1314,1274,38,33,2,10,0,5,0,0,0,0,1199,2,3,Matches
88,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,337,311,26,11,0,2,0,15,0,0,0,0,260,0,0,Matches
89,87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
90,88,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,467,433,31,12,0,2,29,5,6,2,3,0,369,3,3,Matches
91,89,Conor Coady,eng ENG,DF,Wolves,26,1993,38.0,1853,1808,42,41,4,15,0,1,0,0,0,0,1573,3,9,Matches
92,90,Séamus Coleman,ie IRL,DF,Everton,30,1988,20.4,1087,857,227,10,0,5,43,217,0,0,0,0,827,3,25,Matches
93,91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,14.0,155,141,14,0,1,0,9,0,0,0,0,0,113,0,11,Matches
94,92,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,15.0,739,713,20,11,5,3,8,5,2,0,0,0,572,6,17,Matches
95,93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,27.0,1296,1234,57,38,0,7,1,19,0,0,0,0,1016,5,9,Matches
96,94,Jack Cork,eng ENG,MF,Burnley,30,1989,29.0,941,928,6,1,2,11,6,5,0,0,0,0,725,7,14,Matches
97,95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1705,1314,384,45,0,5,127,320,19,10,4,2,1232,7,53,Matches
98,96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,65,57,8,0,1,0,6,0,0,0,0,0,42,0,1,Matches
99,97,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,0.7,67,53,14,0,0,0,3,13,1,0,0,0,51,0,1,Matches
100,98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,50,38,10,4,0,1,5,6,0,0,0,0,36,2,0,Matches
101,99,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,586,556,29,28,0,2,2,1,0,0,0,0,475,1,8,Matches
102,100,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,167,134,33,1,0,1,4,32,0,0,0,0,116,0,1,Matches
103,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
104,101,Ben Davies,wls WAL,DF,Tottenham,26,1993,15.9,978,813,163,12,1,0,29,151,0,0,0,0,733,2,23,Matches
105,102,Tom Davies,eng ENG,MF,Everton,21,1998,22.5,893,867,23,13,2,3,8,3,0,0,0,0,687,3,19,Matches
106,103,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,139,136,3,0,0,0,2,1,0,0,0,0,101,0,3,Matches
107,104,Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,962,928,29,13,1,22,4,16,0,0,0,0,741,5,10,Matches
108,105,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31.0,2261,1982,265,51,32,48,304,36,175,70,44,7,1665,14,48,Matches
109,106,Troy Deeney,eng ENG,FW,Watford,31,1988,24.7,727,714,6,0,1,3,10,1,1,0,0,0,386,7,19,Matches
110,107,Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,793,772,18,15,1,9,8,1,0,0,0,0,682,3,5,Matches
111,108,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,31.1,1339,1317,17,14,0,11,8,3,0,0,0,0,1108,5,18,Matches
112,109,Gerard Deulofeu,es ESP,"MF,FW",Watford,25,1994,23.3,829,736,88,30,3,1,96,7,34,18,12,0,598,5,27,Matches
113,110,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,14.9,922,897,21,19,3,9,3,1,0,0,0,0,738,4,7,Matches
114,111,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,2020,1472,541,64,2,13,270,369,108,56,44,0,1371,7,63,Matches
