,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
0,Patrick van Aanholt,NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.1,1.3,3.7,5.1,0.08,0.13,0.21,0.05,0.18,1241,1595,77.8,19052,8208,668,758,88.1,470,590,79.7,73,163,44.8,2,3.7,3.2,-1.7,32,89,23,3,112,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20,65,2.33,34,23,4,2,1,1,5,0.18,3,1,1,0,0,0,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,1849,90,527,842,506,40,1848,16,38,42.1,31,15,991,50,86,73.3,86.0,25,0,0.0,0,1.24,21,38,-17,-0.61,-0.41,28.3,42.3,-14.0,-0.5,0.21,0,9,8,2,92,23,0,0,1,176,16,16,50.0,3.0,26.0,5.0,19.2,0.93,0.18,0.08,0.4,21.7,3.0,0.05,0.9,0.7
1,Max Aarons,ENG,DF,Norwich City,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,3.9,4.5,0.02,0.11,0.12,0.02,0.12,1332,1711,77.8,17879,5689,880,982,89.6,351,469,74.8,49,121,40.5,1,3.9,2.8,-2.9,23,55,28,12,54,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,66,1.83,47,2,6,3,4,4,3,0.08,2,0,0,0,1,0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,2101,158,760,846,522,43,2101,48,99,48.5,54,31,1251,61,90,94.7,90.0,36,0,0.0,0,0.5,23,71,-48,-1.33,-0.83,34.6,62.1,-27.5,-0.76,0.23,0,29,49,3,73,30,1,0,0,178,22,49,31.0,0.0,14.0,4.0,28.6,0.39,0.11,0.0,0.0,17.2,0.0,0.04,-0.6,-0.6
2,Tammy Abraham,ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,16.4,16.4,2.7,19.0,0.67,0.11,0.77,0.67,0.77,275,418,65.8,3513,697,161,221,72.9,63,86,73.3,13,21,61.9,3,2.7,1.9,0.3,21,17,7,1,22,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,56,2.28,37,0,4,10,2,3,9,0.37,4,0,2,2,1,0,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,718,29,59,335,333,146,718,16,35,45.7,74,42,478,134,65,64.8,81.0,9,9,20.0,0,1.82,45,34,11,0.45,0.15,46.2,27.5,18.8,0.76,-0.12,0,17,24,23,11,4,1,0,1,49,89,113,44.1,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,11.6,0.0,0.19,-1.4,-1.4
3,Che Adams,SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,5.3,5.3,1.7,7.0,0.43,0.14,0.57,0.43,0.57,162,263,61.6,2292,522,97,124,78.2,44,73,60.3,9,19,47.4,2,1.7,0.6,0.3,13,9,3,0,14,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0,6,4,1,5,0,1,4,25.0,3,9,1,8,2,8,10,0,417,11,29,181,213,60,417,18,25,72.0,40,21,297,86,37,32.5,73.0,0,18,13.0,6,1.47,17,17,0,0.0,0.35,20.0,17.7,2.3,0.19,0.15,0,17,16,10,13,4,1,0,0,51,41,75,35.3,4.0,36.0,9.0,25.0,2.92,0.73,0.11,0.44,15.2,0.0,0.15,-1.3,-1.3
5,Sergio Aguero,ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.5,12.1,2.3,14.4,0.9,0.14,1.04,0.75,0.89,286,365,78.4,3050,674,186,218,85.3,60,76,78.9,2,5,40.0,3,2.3,2.5,0.7,18,15,19,0,26,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0,7,4,0,4,3,1,8,12.5,7,9,1,8,3,10,2,0,538,4,18,177,350,127,535,24,40,60.0,34,30,434,111,61,42.5,75.0,8,6,16.0,2,2.08,44,18,26,1.61,-0.26,39.5,16.2,23.2,1.44,-0.05,0,9,9,6,9,4,2,0,0,37,3,12,20.0,16.0,73.0,24.0,32.9,4.52,1.49,0.19,0.58,13.7,0.0,0.17,1.5,1.9
6,Albian Ajeti,SUI,FW,West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.11,0.05,0.16,0.11,0.16,12,15,80.0,117,6,9,12,75.0,1,1,100.0,0,0,0.0,0,0.1,0.0,-0.1,2,1,0,0,0,15,13,2,0,0,0,0,0,0,0,0,0,12,0,0,2,1.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,28,0,1,8,19,7,28,0,2,0.0,4,2,21,10,15,4.1,0.0,0,9,15.0,19,0.22,2,3,-1,-0.65,-0.32,2.7,1.4,1.2,0.8,1.25,0,6,0,2,0,0,0,0,0,2,1,10,9.1,0.0,3.0,0.0,0.0,1.94,0.0,0.0,0.0,15.7,0.0,0.06,-0.2,-0.2
7,Nathan Ake,NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,3.0,3.0,2.2,5.1,0.11,0.08,0.18,0.11,0.18,1079,1238,87.2,19315,6987,435,472,92.2,554,608,91.1,82,132,62.1,2,2.2,0.3,-0.2,7,58,7,0,48,1238,1183,52,32,1,3,5,20,0,0,0,0,1079,3,8,14,0.5,7,0,1,4,1,1,1,0.04,0,0,0,1,0,0,31,21,23,8,0,14,23,60.9,9,40,29,11,36,67,152,0,1551,237,886,603,74,34,1551,3,3,100.0,9,5,921,6,86,73.2,86.0,27,0,0.0,1,0.93,30,46,-16,-0.58,0.31,32.7,44.9,-12.2,-0.44,0.08,0,9,13,3,5,21,0,0,0,140,60,61,49.6,2.0,25.0,7.0,28.0,0.9,0.25,0.08,0.29,10.3,0.0,0.12,-1.0,-1.0
8,Marc Albrighton,ENG,"MF,DF",Leicester City,29,1989,20,9,867,9.6,0,3,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,0.4,0.4,2.2,2.6,0.04,0.22,0.27,0.04,0.27,339,499,67.9,5532,2034,179,216,82.9,110,145,75.9,36,97,37.1,3,2.2,1.6,0.8,19,39,21,8,47,499,464,35,2,3,5,69,23,10,1,6,1,339,0,14,27,2.8,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0,24,17,10,13,1,9,30,30.0,21,19,2,17,10,34,8,0,612,12,103,241,279,20,612,14,33,42.4,12,9,421,41,43,25.4,69.0,2,11,22.0,16,1.45,16,11,5,0.52,-0.22,15.3,12.0,3.2,0.34,-0.14,0,7,11,1,69,17,0,1,0,67,3,7,30.0,0.0,10.0,2.0,20.0,1.04,0.21,0.0,0.0,20.7,0.0,0.04,-0.4,-0.4
9,Toby Alderweireld,BEL,DF,Tottenham,30,1989,33,33,2957,32.9,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,1.3,2.1,0.02,0.04,0.06,0.02,0.06,1630,2009,81.1,33738,10385,480,531,90.4,924,1021,90.5,216,414,52.2,2,1.3,1.4,0.7,11,110,13,2,73,2009,1915,82,72,12,20,9,10,0,0,0,0,1630,12,10,26,0.79,22,0,0,1,0,3,4,0.12,4,0,0,0,0,0,40,29,24,13,3,11,24,45.8,13,48,32,16,31,71,172,2,2351,345,1184,1069,101,22,2351,0,1,0.0,9,5,1563,9,90,86.5,90.0,32,0,0.0,5,1.64,53,39,14,0.43,0.43,40.7,45.3,-4.7,-0.14,0.18,0,18,4,1,9,29,0,0,1,154,73,73,50.0,2.0,16.0,4.0,25.0,0.49,0.12,0.13,0.5,12.6,0.0,0.05,1.3,1.3
10,Trent Alexander-Arnold,ENG,DF,Liverpool,20,1998,38,35,3175,35.3,4,13,4,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,10.9,13.7,0.08,0.31,0.39,0.08,0.39,2278,3230,70.5,43250,16069,993,1095,90.7,912,1250,73.0,315,700,45.0,13,10.9,9.7,2.1,87,190,88,31,221,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,156,4.42,93,51,3,6,1,2,24,0.68,15,7,0,2,0,0,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,3530,100,824,1578,1163,53,3530,21,51,41.2,47,12,2279,97,84,92.8,88.0,31,3,26.0,0,2.61,80,32,48,1.36,-0.11,65.7,36.7,29.0,0.82,0.04,0,22,9,3,382,34,0,0,0,221,15,30,33.3,4.0,44.0,13.0,29.5,1.25,0.37,0.09,0.31,22.6,13.0,0.06,1.2,1.2
