,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
0,Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,22,20,1777,19.7,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,1.4,1.4,0.7,2.1,0.07,0.04,0.11,0.07,0.11,906,1164,77.8,13287,5990,545,613,88.9,284,361,78.7,51,105,48.6,1,0.7,1.7,0.3,11,71,20,4,89,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26,31,1.57,27,2,1,0,0,1,3,0.15,2,1,0,0,0,0,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,1334,61,413,607,325,37,1334,10,22,45.5,24,6,795,56,81,52.0,88.0,19,2,11.0,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.7,-0.13,0,11,3,3,40,22,0,0,0,136,11,13,45.8,0,18,5,27.8,0.91,0.25,0.0,0.0,21.1,3,0.08,-1.4,-1.4
1,Tammy Abraham,ENG,FW,Chelsea,22,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,5.9,5.9,0.7,6.6,0.51,0.06,0.57,0.51,0.57,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,0.3,9,14,1,0,9,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,355,20,35,169,153,60,355,6,18,33.3,33,7,233,68,47,30.4,74.0,7,10,15.0,8,1.77,23,12,11,0.95,0.54,20.0,8.2,11.8,1.02,0.25,0,22,12,4,6,5,1,0,0,28,38,28,57.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0.18,0.1,0.1
2,Che Adams,SCO,FW,Southampton,24,1996,36,30,2667,29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,9.8,9.8,5.0,14.8,0.33,0.17,0.5,0.33,0.5,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,0.0,37,35,23,1,53,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,67,2.26,49,0,2,7,9,0,7,0.24,6,0,0,0,1,0,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,912,24,97,396,433,94,912,28,50,56.0,88,44,704,139,74,78.0,84.0,16,6,25.0,0,1.11,39,51,-12,-0.4,0.67,32.1,37.4,-5.3,-0.18,0.6,0,30,55,19,6,16,0,0,0,84,53,133,28.5,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0.18,-0.8,-0.8
3,Tosin Adarabioyo,ENG,DF,Fulham,22,1997,33,33,2953,32.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,0.03,0.01,0.04,0.03,0.04,1647,1918,85.9,33255,12649,484,551,87.8,949,1008,94.1,196,318,61.6,0,0.3,0.4,-0.3,5,71,5,0,61,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,19,0.58,17,0,0,0,0,2,1,0.03,1,0,0,0,0,0,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,2271,397,1308,901,66,34,2271,11,14,78.6,12,5,1516,2,89,86.3,89.0,32,0,0.0,1,0.85,24,41,-17,-0.52,1.22,35.8,46.2,-10.4,-0.32,0.01,0,16,6,2,2,19,0,1,1,143,82,38,68.3,0,18,5,27.8,0.55,0.15,0.0,0.0,10.5,0,0.06,-1.1,-1.1
5,Sergio Aguero,ARG,FW,Manchester City,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.5,1.9,1.2,3.1,0.56,0.19,0.75,0.31,0.5,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1,1.2,0.9,-0.2,7,12,5,1,9,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7,17,2.74,12,0,3,1,0,1,3,0.48,2,0,1,0,0,0,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,232,0,5,100,128,44,230,8,13,61.5,15,11,189,42,47,16.3,69.0,2,5,16.0,7,2.42,11,4,7,1.13,-0.26,10.9,4.5,6.4,1.03,0.04,0,2,7,1,1,1,0,0,0,12,2,4,33.3,4,17,10,58.8,2.74,1.61,0.18,0.3,14.6,0,0.11,0.5,1.1
6,Ola Aina,NGA,DF,Fulham,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.2,1.2,1.5,2.8,0.04,0.05,0.09,0.04,0.09,1352,1769,76.4,22797,9159,642,717,89.5,565,704,80.3,112,257,43.6,1,1.5,1.2,-0.5,15,92,15,9,73,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,26,0.88,22,3,0,0,1,0,4,0.14,4,0,0,0,0,0,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,2028,105,773,949,326,18,2028,21,33,63.6,27,10,1251,25,86,77.9,86.0,24,0,0.0,4,0.84,22,36,-14,-0.47,0.96,30.4,42.0,-11.6,-0.39,-0.33,0,32,25,2,52,20,0,0,0,147,31,36,46.3,2,14,4,28.6,0.47,0.14,0.14,0.5,24.6,1,0.09,0.8,0.8
7,Rayan Ait Nouri,FRA,DF,Wolves,19,2001,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,0.6,1.2,0.04,0.04,0.08,0.04,0.08,662,805,82.2,9828,2664,362,392,92.3,248,296,83.8,25,57,43.9,1,0.6,0.8,0.4,14,35,16,6,34,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,979,41,263,428,300,25,979,26,54,48.1,30,19,618,33,67,41.1,83.0,10,5,15.0,8,1.0,16,23,-7,-0.45,-0.05,15.1,18.5,-3.5,-0.22,0.2,0,15,19,1,61,16,0,1,0,86,5,23,17.9,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0.04,0.4,0.4
8,Semi Ajayi,NGA,DF,West Brom,26,1993,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,1.9,1.9,0.5,2.4,0.06,0.02,0.08,0.06,0.08,719,999,72.0,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4,0,0.5,0.3,-0.5,7,68,4,0,56,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,17,0.55,12,0,1,0,0,4,3,0.1,2,0,0,0,0,1,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,1318,221,690,555,84,42,1318,10,18,55.6,24,5,649,5,84,81.3,88.0,30,2,26.0,4,0.64,31,71,-40,-1.29,-1.15,26.1,58.7,-32.6,-1.06,-1.13,0,28,4,1,7,14,0,2,0,161,74,54,57.8,2,13,4,30.8,0.42,0.13,0.15,0.5,9.8,0,0.15,0.1,0.1
9,Nathan Ake,NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,709,763,92.9,11178,3225,348,363,95.9,319,336,94.9,26,35,74.3,0,0.0,0.2,0.0,1,55,2,0,34,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,817,39,181,569,67,6,817,0,1,0.0,2,1,656,4,80,23.3,86.0,8,1,20.0,7,1.7,16,13,3,0.34,-1.31,15.6,9.4,6.2,0.7,-0.39,0,8,4,0,1,5,0,1,0,30,24,17,58.5,1,3,1,33.3,0.34,0.11,0.33,1.0,15.5,0,0.09,0.7,0.7
10,Marc Albrighton,ENG,"DF,FW",Leicester City,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.2,1.2,3.5,4.7,0.06,0.18,0.24,0.06,0.24,627,933,67.2,10197,3898,345,408,84.6,193,262,73.7,67,157,42.7,5,3.5,3.9,1.5,38,54,37,14,70,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,1151,37,244,459,469,39,1151,37,66,56.1,33,29,721,68,56,51.1,80.0,9,14,27.0,7,1.9,36,22,14,0.72,0.51,30.5,24.1,6.4,0.33,0.15,0,9,19,4,118,19,0,0,0,138,10,36,21.7,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0,0.06,-0.2,-0.2
